province,year,area,internet_pct,mobile_pct,computer_pct,digital_index_pct
ACEH,2023,rural,84.59,89.46,9.58,61.21000000000001
ACEH,2023,total,86.46,91.07,15.1,64.21
ACEH,2023,urban,89.84,94.79,25.06,69.89666666666666
ACEH,2024,rural,86.97,93.07,9.47,63.169999999999995
ACEH,2024,total,88.95,94.26,15.49,66.23333333333333
ACEH,2024,urban,92.6,96.44,26.55,71.86333333333333
BALI,2023,rural,78.35,87.76,9.49,58.53333333333334
BALI,2023,total,87.15,92.65,24.34,68.04666666666667
BALI,2023,urban,91.06,95.78,30.93,72.59
BALI,2024,rural,85.25,90.29,10.92,62.153333333333336
BALI,2024,total,92.16,95.54,26.63,71.44333333333333
BALI,2024,urban,94.74,97.5,32.49,74.91000000000001
BANTEN,2023,rural,81.48,85.13,3.0,56.53666666666667
BANTEN,2023,total,91.18,91.51,20.71,67.8
BANTEN,2023,urban,93.91,94.7,25.7,71.43666666666667
BANTEN,2024,rural,84.91,87.21,4.05,58.723333333333336
BANTEN,2024,total,93.02,93.86,20.89,69.25666666666666
BANTEN,2024,urban,94.98,95.47,24.97,71.80666666666666
BENGKULU,2023,rural,86.13,90.34,10.32,62.26333333333333
BENGKULU,2023,total,88.82,92.14,17.83,66.26333333333332
BENGKULU,2023,urban,93.99,96.41,32.31,74.23666666666666
BENGKULU,2024,rural,88.05,93.27,12.14,64.48666666666666
BENGKULU,2024,total,90.62,94.92,19.79,68.44333333333334
BENGKULU,2024,urban,95.83,98.24,35.23,76.43333333333332
DI YOGYAKARTA,2023,rural,83.93,85.93,12.13,60.663333333333334
DI YOGYAKARTA,2023,total,90.18,89.47,30.56,70.07000000000001
DI YOGYAKARTA,2023,urban,92.25,91.12,36.65,73.34
DI YOGYAKARTA,2024,rural,82.34,85.52,11.9,59.92000000000001
DI YOGYAKARTA,2024,total,89.5,90.93,31.55,70.66000000000001
DI YOGYAKARTA,2024,urban,91.71,92.6,37.6,73.97
DKI JAKARTA,2023,rural,,,9.1,9.1
DKI JAKARTA,2023,total,98.08,96.19,39.15,77.80666666666666
DKI JAKARTA,2023,urban,98.08,96.19,39.15,77.80666666666666
DKI JAKARTA,2024,rural,,,,
DKI JAKARTA,2024,total,98.18,98.49,39.33,78.66666666666667
DKI JAKARTA,2024,urban,98.18,98.49,39.33,78.66666666666667
GORONTALO,2023,rural,83.6,90.94,9.88,61.47333333333333
GORONTALO,2023,total,87.93,92.74,17.89,66.18666666666667
GORONTALO,2023,urban,93.01,96.38,27.29,72.22666666666666
GORONTALO,2024,rural,86.61,92.19,9.21,62.67000000000001
GORONTALO,2024,total,90.17,94.98,17.23,67.46
GORONTALO,2024,urban,94.25,98.18,26.43,72.95333333333333
INDONESIA,2023,rural,81.6,85.45,8.68,58.576666666666675
INDONESIA,2023,total,87.09,89.02,18.06,64.72333333333334
INDONESIA,2023,urban,91.01,93.95,24.76,69.90666666666667
INDONESIA,2024,rural,84.61,89.8,8.98,61.129999999999995
INDONESIA,2024,total,89.76,92.92,18.52,67.06666666666668
INDONESIA,2024,urban,93.38,95.11,25.23,71.24
JAMBI,2023,rural,88.25,92.3,12.36,64.30333333333334
JAMBI,2023,total,89.52,93.42,17.75,66.89666666666666
JAMBI,2023,urban,91.99,96.29,28.26,72.17999999999999
JAMBI,2024,rural,89.41,94.98,11.41,65.26666666666667
JAMBI,2024,total,90.59,95.61,17.6,67.93333333333332
JAMBI,2024,urban,93.01,96.91,30.31,73.41000000000001
JAWA BARAT,2023,rural,79.48,80.55,6.49,55.50666666666667
JAWA BARAT,2023,total,87.92,87.56,18.85,64.77666666666667
JAWA BARAT,2023,urban,90.29,91.26,22.32,67.95666666666666
JAWA BARAT,2024,rural,82.2,86.52,6.11,58.27666666666667
JAWA BARAT,2024,total,90.58,92.4,18.6,67.19333333333334
JAWA BARAT,2024,urban,92.83,93.98,21.95,69.58666666666666
JAWA TENGAH,2023,rural,83.5,84.3,8.41,58.73666666666667
JAWA TENGAH,2023,total,85.61,87.44,14.05,62.366666666666674
JAWA TENGAH,2023,urban,87.5,90.23,19.1,65.61
JAWA TENGAH,2024,rural,86.44,88.77,8.88,61.36333333333332
JAWA TENGAH,2024,total,88.89,90.56,14.82,64.75666666666666
JAWA TENGAH,2024,urban,91.12,92.18,20.23,67.84333333333333
JAWA TIMUR,2023,rural,79.73,82.53,8.4,56.88666666666666
JAWA TIMUR,2023,total,84.28,86.58,16.05,62.30333333333334
JAWA TIMUR,2023,urban,87.87,90.19,22.1,66.72
JAWA TIMUR,2024,rural,82.22,86.8,8.75,59.25666666666666
JAWA TIMUR,2024,total,86.9,90.32,16.7,64.64
JAWA TIMUR,2024,urban,90.64,93.12,23.04,68.93333333333332
KALIMANTAN BARAT,2023,rural,85.71,87.84,8.38,60.64333333333334
KALIMANTAN BARAT,2023,total,88.45,90.07,15.11,64.54333333333334
KALIMANTAN BARAT,2023,urban,92.99,95.84,26.23,71.68666666666665
KALIMANTAN BARAT,2024,rural,90.31,93.46,9.02,64.26333333333334
KALIMANTAN BARAT,2024,total,92.65,95.14,16.51,68.10000000000001
KALIMANTAN BARAT,2024,urban,96.47,97.87,28.73,74.35666666666667
KALIMANTAN SELATAN,2023,rural,85.15,88.05,11.57,61.589999999999996
KALIMANTAN SELATAN,2023,total,88.45,90.53,19.12,66.03333333333335
KALIMANTAN SELATAN,2023,urban,91.78,94.22,26.75,70.91666666666667
KALIMANTAN SELATAN,2024,rural,86.44,90.33,10.68,62.48333333333333
KALIMANTAN SELATAN,2024,total,89.22,92.76,18.51,66.83
KALIMANTAN SELATAN,2024,urban,92.04,95.22,26.43,71.23
KALIMANTAN TENGAH,2023,rural,84.5,89.66,10.51,61.556666666666665
KALIMANTAN TENGAH,2023,total,88.27,91.7,19.12,66.36333333333333
KALIMANTAN TENGAH,2023,urban,93.14,95.98,30.25,73.12333333333333
KALIMANTAN TENGAH,2024,rural,88.79,94.05,10.81,64.55
KALIMANTAN TENGAH,2024,total,92.13,95.97,19.43,69.17666666666666
KALIMANTAN TENGAH,2024,urban,96.46,98.46,30.6,75.17333333333333
KALIMANTAN TIMUR,2023,rural,88.75,95.53,17.14,67.14
KALIMANTAN TIMUR,2023,total,92.98,96.94,29.59,73.17
KALIMANTAN TIMUR,2023,urban,94.87,97.89,35.13,75.96333333333332
KALIMANTAN TIMUR,2024,rural,92.74,97.32,17.73,69.26333333333334
KALIMANTAN TIMUR,2024,total,95.45,98.44,30.52,74.80333333333333
KALIMANTAN TIMUR,2024,urban,96.69,98.94,36.31,77.31333333333333
KALIMANTAN UTARA,2023,rural,89.09,94.61,16.67,66.79
KALIMANTAN UTARA,2023,total,93.76,96.86,27.22,72.61333333333333
KALIMANTAN UTARA,2023,urban,96.35,98.94,33.09,76.12666666666667
KALIMANTAN UTARA,2024,rural,89.44,95.82,16.71,67.32333333333334
KALIMANTAN UTARA,2024,total,94.58,97.94,25.05,72.52333333333333
KALIMANTAN UTARA,2024,urban,97.38,99.09,29.59,75.35333333333334
KEP BANGKA BELITUNG,2023,rural,90.67,92.73,13.83,65.74333333333334
KEP BANGKA BELITUNG,2023,total,91.16,94.39,19.64,68.39666666666666
KEP BANGKA BELITUNG,2023,urban,91.49,96.0,23.55,70.34666666666668
KEP BANGKA BELITUNG,2024,rural,90.77,95.65,11.72,66.04666666666667
KEP BANGKA BELITUNG,2024,total,92.14,96.27,19.29,69.23333333333333
KEP BANGKA BELITUNG,2024,urban,93.09,96.7,24.55,71.44666666666667
KEP RIAU,2023,rural,88.06,93.28,9.1,63.48
KEP RIAU,2023,total,95.98,96.71,31.46,74.71666666666667
KEP RIAU,2023,urban,96.99,97.98,34.29,76.42
KEP RIAU,2024,rural,87.65,95.3,10.01,64.32
KEP RIAU,2024,total,97.57,99.15,30.36,75.69333333333333
KEP RIAU,2024,urban,98.68,99.58,32.63,76.96333333333332
LAMPUNG,2023,rural,87.76,91.41,6.0,61.723333333333336
LAMPUNG,2023,total,88.88,92.41,10.63,63.97333333333333
LAMPUNG,2023,urban,91.13,95.32,19.96,68.80333333333333
LAMPUNG,2024,rural,90.45,94.85,6.55,63.95000000000001
LAMPUNG,2024,total,91.57,95.44,10.89,65.96666666666665
LAMPUNG,2024,urban,93.84,96.66,19.74,70.08
MALUKU,2023,rural,75.2,85.61,8.35,56.38666666666666
MALUKU,2023,total,82.56,89.17,17.58,63.10333333333333
MALUKU,2023,urban,92.8,96.25,30.42,73.15666666666668
MALUKU,2024,rural,80.4,91.15,9.06,60.20333333333334
MALUKU,2024,total,87.27,94.44,17.73,66.47999999999999
MALUKU,2024,urban,95.72,98.47,28.36,74.18333333333334
MALUKU UTARA,2023,rural,77.67,88.43,9.67,58.59
MALUKU UTARA,2023,total,81.88,90.59,15.92,62.79666666666666
MALUKU UTARA,2023,urban,91.69,97.58,30.48,73.24999999999999
