province,year,area,food_spend,nonfood_spend,total_spend,engel_ratio,internet_pct,mobile_pct,computer_pct,digital_index_pct,calorie_per_capita,protein_per_capita,poverty_rate,gini,vulnerability_score,_inferred_from_2023
ACEH,2024,rural,,,,,84.59,89.46,9.58,61.21000000000001,,,,,,1
ACEH,2024,total,702547.0,523429.0,1225976.0,0.5730511853413117,86.46,91.07,15.1,64.21,2052.85,61.05,,,0.29276405066307537,1
ACEH,2024,urban,,,,,89.84,94.79,25.06,69.89666666666666,,,,,,1
ACEH,2024,rural,,,,,86.97,93.07,9.47,63.169999999999995,,,,,,
ACEH,2024,total,722434.0,542299.0,1264733.0,0.5712146358164134,88.95,94.26,15.49,66.23333333333333,1989.55,60.64,,,0.28087174594496306,
ACEH,2024,urban,,,,,92.6,96.44,26.55,71.86333333333333,,,,,,
BALI,2024,rural,,,,,78.35,87.76,9.49,58.53333333333334,,,,,,1
BALI,2024,total,729755.0,1011768.0,1741523.0,0.4190326513057824,87.15,92.65,24.34,68.04666666666667,2263.58,65.86,,,0.09806342898618492,1
BALI,2024,urban,,,,,91.06,95.78,30.93,72.59,,,,,,1
BALI,2024,rural,,,,,85.25,90.29,10.92,62.153333333333336,,,,,,
BALI,2024,total,804982.0,1067778.0,1872760.0,0.4298372455626989,92.16,95.54,26.63,71.44333333333333,2295.02,67.22,,,0.09398096729740361,
BALI,2024,urban,,,,,94.74,97.5,32.49,74.91000000000001,,,,,,
BANTEN,2024,rural,,,,,81.48,85.13,3.0,56.53666666666667,,,,,,1
BANTEN,2024,total,847452.0,896235.0,1743687.0,0.4860115376211442,91.18,91.51,20.71,67.8,2207.37,66.93,,,0.17585303275145278,1
BANTEN,2024,urban,,,,,93.91,94.7,25.7,71.43666666666667,,,,,,1
BANTEN,2024,rural,,,,,84.91,87.21,4.05,58.723333333333336,,,,,,
BANTEN,2024,total,873268.0,898894.0,1772162.0,0.49276984835472154,93.02,93.86,20.89,69.25666666666666,2184.28,66.03,,,0.1765320768942984,
BANTEN,2024,urban,,,,,94.98,95.47,24.97,71.80666666666666,,,,,,
BENGKULU,2024,rural,,,,,86.13,90.34,10.32,62.26333333333333,,,,,,1
BENGKULU,2024,total,679166.0,653392.0,1332558.0,0.509670873613006,88.82,92.14,17.83,66.26333333333332,2059.98,60.32,,,0.2103462249948226,1
BENGKULU,2024,urban,,,,,93.99,96.41,32.31,74.23666666666666,,,,,,1
BENGKULU,2024,rural,,,,,88.05,93.27,12.14,64.48666666666666,,,,,,
BENGKULU,2024,total,724415.0,691561.0,1415976.0,0.5116011853308248,90.62,94.92,19.79,68.44333333333334,2032.04,60.58,,,0.2020034356632797,
BENGKULU,2024,urban,,,,,95.83,98.24,35.23,76.43333333333332,,,,,,
CATATAN,2024,total,,,,,,,,,,,,,,1
CATATAN,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,1
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA DIOLAH DARI HASIL SURVEI SOSIAL EKONOMI NASIONAL SUSENAS TRIWULAN I BPS,2024,total,,,,,,,,,,,,,,
DATA MASIH BERGABUNG DENGAN PROVINSI KALIMANTAN TIMUR,2024,total,,,,,,,,,,,,,,1
DATA MASIH BERGABUNG DENGAN PROVINSI KALIMANTAN TIMUR,2024,total,,,,,,,,,,,,,,
DI YOGYAKARTA,2024,rural,,,,,83.93,85.93,12.13,60.663333333333334,,,,,,1
DI YOGYAKARTA,2024,total,722132.0,1009428.0,1731560.0,0.41704128069486474,90.18,89.47,30.56,70.07000000000001,2052.77,63.78,,,0.0859940736728731,1
DI YOGYAKARTA,2024,urban,,,,,92.25,91.12,36.65,73.34,,,,,,1
DI YOGYAKARTA,2024,rural,,,,,82.34,85.52,11.9,59.92000000000001,,,,,,
DI YOGYAKARTA,2024,total,748182.0,1010683.0,1758865.0,0.425377729387986,89.5,90.93,31.55,70.66000000000001,2015.51,62.32,,,0.09267214039329737,
DI YOGYAKARTA,2024,urban,,,,,91.71,92.6,37.6,73.97,,,,,,
DKI JAKARTA,2024,rural,,,,,,,9.1,9.1,,,,,,1
DKI JAKARTA,2024,total,1055896.0,1735820.0,2791716.0,0.37822471913332156,98.08,96.19,39.15,77.80666666666666,2157.83,70.65,,,0.004162028747035825,1
DKI JAKARTA,2024,urban,,,,,98.08,96.19,39.15,77.80666666666666,,,,,,1
DKI JAKARTA,2024,rural,,,,,,,,,,,,,,
DKI JAKARTA,2024,total,1108228.0,1686257.0,2794485.0,0.39657682900427094,98.18,98.49,39.33,78.66666666666667,2073.28,68.15,,,0.020987141088858196,
DKI JAKARTA,2024,urban,,,,,98.18,98.49,39.33,78.66666666666667,,,,,,
GORONTALO,2024,rural,,,,,83.6,90.94,9.88,61.47333333333333,,,,,,1
GORONTALO,2024,total,590966.0,637927.0,1228893.0,0.48089296627127015,87.93,92.74,17.89,66.18666666666667,1996.25,58.46,,,0.20333363613053054,1
GORONTALO,2024,urban,,,,,93.01,96.38,27.29,72.22666666666666,,,,,,1
GORONTALO,2024,rural,,,,,86.61,92.19,9.21,62.67000000000001,,,,,,
GORONTALO,2024,total,620823.0,641446.0,1262268.0,0.4918313702003061,90.17,94.98,17.23,67.46,1938.17,58.12,,,0.21531588395552045,
GORONTALO,2024,urban,,,,,94.25,98.18,26.43,72.95333333333333,,,,,,
INDONESIA,2024,rural,,,,,81.6,85.45,8.68,58.576666666666675,,,,,,1
INDONESIA,2024,total,711282.0,740588.0,1451870.0,0.489907498605247,87.09,89.02,18.06,64.72333333333334,2087.64,62.33,,,0.19519812180578033,1
INDONESIA,2024,urban,,,,,91.01,93.95,24.76,69.90666666666667,,,,,,1
INDONESIA,2024,rural,,,,,84.61,89.8,8.98,61.129999999999995,,,,,,
INDONESIA,2024,total,751789.0,748767.0,1500556.0,0.5010069600867945,89.76,92.92,18.52,67.06666666666668,2051.54,61.7,,,0.19655054356503643,
INDONESIA,2024,urban,,,,,93.38,95.11,25.23,71.24,,,,,,
JAMBI,2024,rural,,,,,88.25,92.3,12.36,64.30333333333334,,,,,,1
