province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank
Aceh,rural,30918.0,19112.0,,101026.0,59411.0,22740.0,132181.0,76.43004667841822,41615.0,1.7004595108649914,-0.30838596004988816,19
Aceh,total,33975.0,21829.0,,97708.0,60754.0,26592.0,143150.0,68.25567586447782,36954.0,1.6082562465022878,-0.4650796250051173,17
Aceh,urban,39621.0,26847.0,,91580.0,63233.0,33705.0,163406.0,56.04445369203089,28347.0,1.4482944032388152,-0.7842978816335444,15
Bali,rural,51581.0,79401.0,,61581.0,60286.0,27573.0,218841.0,28.139608208699467,1295.0,1.0214809408486216,-2.5537097481366007,36
Bali,total,49214.0,71217.0,,65609.0,61777.0,37414.0,219622.0,29.87360100536376,3832.0,1.062029557926089,-2.3474370894237073,37
Bali,urban,48332.0,68164.0,,67112.0,62334.0,41085.0,219915.0,30.51724529932019,4778.0,1.076651586614047,-2.276835737275003,36
Banten,rural,42684.0,23978.0,,140283.0,50989.0,23197.0,140848.0,99.59885834374646,89294.0,2.75124046362941,-0.004027572834912284,2
Banten,total,46992.0,42277.0,,115022.0,64640.0,42347.0,196256.0,58.60814446437307,50382.0,1.779424504950495,-0.7062475004781694,6
Banten,urban,48083.0,46913.0,,108623.0,68098.0,47197.0,210291.0,51.653660879448005,40525.0,1.595098240770654,-0.935971203152187,5
Bengkulu,rural,39565.0,28285.0,,122831.0,84576.0,27282.0,179708.0,68.35032385870412,38255.0,1.4523150775633749,-0.4630508584966336,8
Bengkulu,total,43581.0,31865.0,,114951.0,83413.0,32121.0,190980.0,60.19007225887527,31538.0,1.378094541618213,-0.6614035545580291,8
Bengkulu,urban,51504.0,38927.0,,99405.0,81117.0,41667.0,213215.0,46.62195436531201,18288.0,1.225452124708754,-1.1449122277551431,10
Gorontalo,rural,30269.0,13809.0,,84187.0,45609.0,22415.0,112102.0,75.09857094431857,38578.0,1.845841829463483,-0.33158326107356245,30
Gorontalo,total,33568.0,14554.0,,85726.0,47917.0,26648.0,122687.0,69.873743754432,37809.0,1.7890519022476365,-0.4311527424585307,26
Gorontalo,urban,37497.0,15441.0,,87561.0,50668.0,31692.0,135298.0,64.71714289937766,36893.0,1.728132154416989,-0.5451856420095704,21
Jakarta Raya,total,60669.0,73054.0,,87132.0,77147.0,62990.0,273860.0,31.816256481413863,9985.0,1.1294282344096336,-2.143047330487077,25
Jakarta Raya,urban,60669.0,73054.0,,87132.0,77147.0,62990.0,273860.0,31.816256481413863,9985.0,1.1294282344096336,-2.143047330487077,23
Jambi,rural,57570.0,32742.0,,123593.0,86544.0,29382.0,206238.0,59.92736547096074,37049.0,1.4280943797374746,-0.6686867379220506,7
Jambi,total,56798.0,34690.0,,114981.0,83946.0,34063.0,209497.0,54.88431815252724,31035.0,1.3697019512543778,-0.8220140718901384,7
Jambi,urban,55254.0,38583.0,,97765.0,78751.0,43423.0,216011.0,45.259269203883136,19014.0,1.2414445530850402,-1.2094921495422697,11
Jawa Barat,rural,38777.0,30865.0,,123782.0,48234.0,29246.0,147122.0,84.13561533965009,75548.0,2.5662810465646637,-0.18855730235413873,6
Jawa Barat,total,42645.0,41813.0,,109664.0,53640.0,40658.0,178756.0,61.348430262480704,56024.0,2.0444444444444443,-0.6300335570469798,10
Jawa Barat,urban,43600.0,44519.0,,106174.0,54976.0,43479.0,186574.0,56.90717892096434,51198.0,1.9312791036088475,-0.7572475370618043,9
Jawa Tengah,rural,29549.0,24466.0,,84327.0,50538.0,27848.0,132401.0,63.69060656641567,33789.0,1.6685860144841504,-0.5700902439313624,28
Jawa Tengah,total,34467.0,27701.0,,81779.0,51295.0,32742.0,146205.0,55.934475565131144,30484.0,1.5942879422945706,-0.7878061605057534,29
Jawa Tengah,urban,38755.0,30521.0,,79558.0,51955.0,37008.0,158239.0,50.27711246911317,27603.0,1.5312866904051583,-0.9889765956911939,31
Jawa Timur,rural,30540.0,24952.0,,86096.0,50312.0,27797.0,133601.0,64.44263141742951,35784.0,1.7112418508506917,-0.5517677940903177,27
Jawa Timur,total,36667.0,32591.0,,84472.0,51613.0,36229.0,157100.0,53.769573520050926,32859.0,1.636641931296379,-0.8597878586987404,27
Jawa Timur,urban,41340.0,38416.0,,83235.0,52605.0,42659.0,175020.0,47.55742200891327,30630.0,1.5822640433418877,-1.1027212110290143,27
Kalimantan Barat,rural,29269.0,43507.0,,99777.0,54208.0,30939.0,157923.0,63.18079063847571,45569.0,1.8406323789846517,-0.5827595538049851,20
Kalimantan Barat,total,34145.0,47929.0,,93153.0,56215.0,37951.0,176240.0,52.85576486609169,36938.0,1.6570844080761362,-0.8919412149903921,20
Kalimantan Barat,urban,42103.0,55149.0,,82339.0,59491.0,49397.0,206140.0,39.94324245658291,22848.0,1.3840580928207629,-1.5035523870826704,28
Kalimantan Selatan,rural,40187.0,25698.0,,87247.0,47726.0,36199.0,149810.0,58.23843535144516,39521.0,1.8280811297825086,-0.717079097275551,26
Kalimantan Selatan,total,42352.0,32911.0,,81243.0,46718.0,42910.0,164891.0,49.27073036126896,34525.0,1.7390085192003082,-1.0296025503735706,30
Kalimantan Selatan,urban,44504.0,40081.0,,75275.0,45716.0,49581.0,179882.0,41.84687739740497,29559.0,1.646578878292064,-1.3896645632680173,32
Kalimantan Tengah,rural,41409.0,50943.0,,131155.0,71272.0,41450.0,205074.0,63.95496259886675,59883.0,1.8402037265686384,-0.5636003202317869,4
Kalimantan Tengah,total,41408.0,51701.0,,116164.0,66600.0,43446.0,203155.0,57.1799857251852,49564.0,1.7442042042042043,-0.7488636754932682,4
Kalimantan Tengah,urban,41406.0,52679.0,,96816.0,60570.0,46024.0,200679.0,48.244210903980985,36246.0,1.5984150569588906,-1.0727875557759048,12
Kalimantan Timur,rural,51906.0,48739.0,,120486.0,68154.0,39336.0,208135.0,57.888389747039184,52332.0,1.767849282507263,-0.7274621117806218,9
Kalimantan Timur,total,55348.0,50804.0,,99162.0,67107.0,49330.0,222589.0,44.549371262730865,32055.0,1.477669989717913,-1.2447005909521793,15
Kalimantan Timur,urban,56873.0,51719.0,,89716.0,66644.0,53757.0,228993.0,39.17849017218867,23072.0,1.346197707220455,-1.5524209728476526,17
Kalimantan Utara,rural,35589.0,56814.0,,107989.0,73848.0,47209.0,213460.0,50.589806052656236,34141.0,1.4623144838045716,-0.9766828102862328,14
Kalimantan Utara,total,38744.0,51181.0,,97732.0,67920.0,51307.0,209152.0,46.727738678090574,29812.0,1.4389281507656067,-1.1400564809888265,16
Kalimantan Utara,urban,40463.0,48112.0,,92145.0,64691.0,53540.0,206806.0,44.55625078576057,27454.0,1.4243866998500565,-1.2443540072711488,14
Kepulauan Bangka Belitung,rural,55271.0,50289.0,,143122.0,73680.0,44571.0,223811.0,63.94770587683358,69442.0,1.9424809989142238,-0.5637777560403013,1
Kepulauan Bangka Belitung,total,60010.0,53710.0,,131199.0,80052.0,50998.0,244770.0,53.600931486701796,51147.0,1.6389222005696298,-0.8656392198111266,1
Kepulauan Bangka Belitung,urban,63396.0,56154.0,,122682.0,84604.0,55590.0,259744.0,47.231889860786005,38078.0,1.4500732825871117,-1.1172136091684193,3
Kepulauan Riau,rural,26290.0,29382.0,,104706.0,64382.0,42685.0,162739.0,64.3398324925187,40324.0,1.6263241278618248,-0.5542471300594044,16
Kepulauan Riau,total,49645.0,61993.0,,89194.0,80478.0,57539.0,249655.0,35.72690312631431,8716.0,1.1083028902308705,-1.7990111442473709,23
Kepulauan Riau,urban,52288.0,65683.0,,87439.0,82299.0,59220.0,259490.0,33.69648155998304,5140.0,1.062455193866268,-1.9676688891684488,22
Lampung,rural,33950.0,22717.0,,101690.0,65845.0,29029.0,151541.0,67.10395206577758,35845.0,1.5443845394487052,-0.49022519421772054,18
Lampung,total,38731.0,24737.0,,99473.0,67212.0,32185.0,162865.0,61.0769655849937,32261.0,1.4799886924953878,-0.6372784574708715,14
Lampung,urban,48071.0,28682.0,,95142.0,69882.0,38352.0,184987.0,51.43172222912962,25260.0,1.361466472052889,-0.9443253242521704,13
Maluku,rural,40013.0,12956.0,,72784.0,56868.0,19972.0,129809.0,56.070072182976524,15916.0,1.2798762045438559,-0.7834826335458343,32
Maluku,total,46383.0,15278.0,,78146.0,60978.0,30253.0,152892.0,51.1118959788609,17168.0,1.281544163468792,-0.9564916950323753,33
Maluku,urban,54670.0,18299.0,,85121.0,66325.0,43629.0,182923.0,46.53378744061709,18796.0,1.283392385978138,-1.1489761633439457,24
Maluku Utara,rural,48597.0,10597.0,,109696.0,66797.0,21929.0,147920.0,74.15900486749595,42899.0,1.642229441441981,-0.3484539089848308,13
Maluku Utara,total,55076.0,12671.0,,115857.0,69416.0,24399.0,161562.0,71.71055074831953,46441.0,1.669024432407514,-0.39449493772495403,5
Maluku Utara,urban,70864.0,17723.0,,130871.0,75798.0,30417.0,194802.0,67.18154844406115,55073.0,1.72657589910024,-0.4885039466344721,1
Nusa Tenggara Barat,rural,41307.0,28935.0,,87852.0,54227.0,23586.0,148055.0,59.33740839552869,33625.0,1.6200785586515942,-0.6852775121795748,24
Nusa Tenggara Barat,total,49529.0,34807.0,,80526.0,55356.0,28174.0,167866.0,47.97040496586563,25170.0,1.4546932581833947,-1.0846186324913691,32
Nusa Tenggara Barat,urban,57072.0,40194.0,,73806.0,56392.0,32382.0,186040.0,39.67211352397334,17414.0,1.3088026670449708,-1.5206622767796656,33
Nusa Tenggara Timur,rural,15558.0,34436.0,,55736.0,48185.0,16076.0,114255.0,48.78211019211413,7551.0,1.1567085192487288,-1.0499318214439501,37
Nusa Tenggara Timur,total,18177.0,36052.0,,56454.0,51525.0,20611.0,126365.0,44.675345230087444,4929.0,1.0956622998544396,-1.2383710631664717,38
Nusa Tenggara Timur,urban,25432.0,40527.0,,58442.0,60777.0,33173.0,159909.0,36.54703612679712,-2335.0,0.9615808611810389,-1.7361999931556074,37
