city,group,sub_group,year,value
KOTA MEULABOH,2020,"Makanan, Minuman dan Tembakau",2020,0.6825000000000001
KOTA BANDA ACEH,2020,"Makanan, Minuman dan Tembakau",2020,0.5266666666666667
KOTA LHOKSEUMAWE,2020,"Makanan, Minuman dan Tembakau",2020,0.6591666666666667
KOTA SIBOLGA,2020,"Makanan, Minuman dan Tembakau",2020,0.3725
KOTA PEMATANG SIANTAR,2020,"Makanan, Minuman dan Tembakau",2020,0.5358333333333333
KOTA MEDAN,2020,"Makanan, Minuman dan Tembakau",2020,0.36
KOTA PADANGSIDIMPUAN,2020,"Makanan, Minuman dan Tembakau",2020,0.4683333333333334
KOTA GUNUNGSITOLI,2020,"Makanan, Minuman dan Tembakau",2020,0.8399999999999999
KOTA PADANG,2020,"Makanan, Minuman dan Tembakau",2020,0.4041666666666667
KOTA BUKITTINGGI,2020,"Makanan, Minuman dan Tembakau",2020,0.3058333333333333
TEMBILAHAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3708333333333333
KOTA PEKANBARU,2020,"Makanan, Minuman dan Tembakau",2020,0.4408333333333333
KOTA DUMAI,2020,"Makanan, Minuman dan Tembakau",2020,0.525
BUNGO,2020,"Makanan, Minuman dan Tembakau",2020,0.4366666666666667
KOTA JAMBI,2020,"Makanan, Minuman dan Tembakau",2020,0.5225
KOTA PALEMBANG,2020,"Makanan, Minuman dan Tembakau",2020,0.1983333333333333
KOTA LUBUKLINGGAU,2020,"Makanan, Minuman dan Tembakau",2020,0.2283333333333333
KOTA BENGKULU,2020,"Makanan, Minuman dan Tembakau",2020,0.0058333333333333
KOTA BANDAR LAMPUNG,2020,"Makanan, Minuman dan Tembakau",2020,0.3475
KOTA METRO,2020,"Makanan, Minuman dan Tembakau",2020,0.2583333333333333
TANJUNG PANDAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3733333333333333
KOTA PANGKAL PINANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3608333333333333
KOTA BATAM,2020,"Makanan, Minuman dan Tembakau",2020,0.24
KOTA TANJUNG PINANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3283333333333333
DKI JAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.3583333333333333
KOTA BOGOR,2020,"Makanan, Minuman dan Tembakau",2020,0.2991666666666666
KOTA SUKABUMI,2020,"Makanan, Minuman dan Tembakau",2020,0.2491666666666666
KOTA BANDUNG,2020,"Makanan, Minuman dan Tembakau",2020,0.3533333333333333
KOTA CIREBON,2020,"Makanan, Minuman dan Tembakau",2020,0.1849999999999999
KOTA BEKASI,2020,"Makanan, Minuman dan Tembakau",2020,0.3091666666666666
KOTA DEPOK,2020,"Makanan, Minuman dan Tembakau",2020,0.3241666666666667
KOTA TASIKMALAYA,2020,"Makanan, Minuman dan Tembakau",2020,0.235
CILACAP,2020,"Makanan, Minuman dan Tembakau",2020,0.2833333333333332
PURWOKERTO,2020,"Makanan, Minuman dan Tembakau",2020,0.2758333333333333
KUDUS,2020,"Makanan, Minuman dan Tembakau",2020,0.2458333333333333
KOTA SURAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.1283333333333333
KOTA SEMARANG,2020,"Makanan, Minuman dan Tembakau",2020,0.4158333333333333
KOTA TEGAL,2020,"Makanan, Minuman dan Tembakau",2020,0.3633333333333333
KOTA YOGYAKARTA,2020,"Makanan, Minuman dan Tembakau",2020,0.2299999999999999
JEMBER,2020,"Makanan, Minuman dan Tembakau",2020,0.2966666666666666
BANYUWANGI,2020,"Makanan, Minuman dan Tembakau",2020,0.2491666666666666
SUMENEP,2020,"Makanan, Minuman dan Tembakau",2020,0.1933333333333333
KOTA KEDIRI,2020,"Makanan, Minuman dan Tembakau",2020,0.2933333333333334
KOTA MALANG,2020,"Makanan, Minuman dan Tembakau",2020,0.3266666666666666
KOTA PROBOLINGGO,2020,"Makanan, Minuman dan Tembakau",2020,0.2383333333333333
KOTA MADIUN,2020,"Makanan, Minuman dan Tembakau",2020,0.2908333333333333
KOTA SURABAYA,2020,"Makanan, Minuman dan Tembakau",2020,0.1458333333333333
KOTA TANGERANG,2020,"Makanan, Minuman dan Tembakau",2020,0.1983333333333333
