province,rokok,sayur,ikan,telur_susu,daging,buah,gizi_total,rokok_pct_of_gizi,rokok_vs_sayur_ratio,poverty_rate,protein_per_capita,calorie_per_capita,rokok_pct_of_sayur,rokok_pct_of_daging,smoking_daily_pct,smoking_sometimes_pct,ex_smoker_pct,non_smoker_pct,n_sample,severely_stunting_pct,stunting_pct,normal_pct,has_expenditure_data,population_thousands,province_code,geo_feature_id,latitude,longitude,geometry_status,region
Aceh,97708.0,60754.0,91084.0,26592.0,21829.0,33975.0,234234.0,41.71384171384172,1.6082562465022878,12.64,60.64,1989.55,160.82562465022878,447.60639516239866,20.0,5.2,1.3,73.4,13654,9.1,20.3,70.6,True,5351.0,11,11,3.84988947368421,96.94140877192984,matched,Sumatera
Sumatera Utara,99929.0,71480.0,86850.0,38235.0,29170.0,30923.0,256658.0,38.93469130126472,1.39799944040291,7.19,62.11,2041.63,139.799944040291,342.5745629070963,18.7,4.5,2.0,74.7,38293,5.7,13.2,81.1,True,15006.0,12,12,1.897969841269841,98.86178412698416,matched,Sumatera
Sumatera Barat,112394.0,85076.0,70645.0,33763.0,28625.0,37119.0,255228.0,44.03670443681728,1.3211011331045184,5.42,57.79,2032.94,132.11011331045185,392.64279475982534,24.6,3.9,2.6,68.8,14601,6.6,17.1,76.4,True,5722.0,13,13,-1.100891780821918,100.24845479452055,matched,Sumatera
Riau,122449.0,88929.0,89636.0,40448.0,35590.0,36438.0,291041.0,42.07276637999457,1.376929910377942,6.36,59.16,2017.1,137.6929910377942,344.0545096937342,20.9,3.9,1.7,73.5,16528,3.3,10.3,86.4,True,6477.0,14,14,0.9121602150537632,101.92469032258062,matched,Sumatera
Jambi,114981.0,83946.0,70567.0,34063.0,34690.0,56798.0,280064.0,41.05525879798903,1.3697019512543778,7.26,58.73,2011.88,136.97019512543778,331.4528682617469,16.8,4.2,1.3,77.8,9256,4.0,9.5,86.5,True,3627.0,15,15,-1.6867625,102.82482,matched,Sumatera
Sumatera Selatan,91223.0,65577.0,64144.0,40611.0,32481.0,46320.0,249133.0,36.616184929334935,1.3910822391997195,10.51,66.43,2196.16,139.10822391997195,280.85034327760843,22.1,4.2,1.6,72.2,21935,6.0,14.3,79.7,True,8596.0,16,16,-3.279495000000001,104.24365166666666,matched,Sumatera
Bengkulu,114951.0,83413.0,60638.0,32121.0,31865.0,43581.0,251618.0,45.68472843755217,1.378094541618213,12.52,60.58,2032.04,137.80945416182132,360.74376274909775,23.5,4.4,1.2,71.0,5257,5.8,14.4,79.8,True,2060.0,17,17,-3.51616,102.45806666666664,matched,Sumatera
Lampung,99473.0,67212.0,47991.0,32185.0,24737.0,38731.0,210856.0,47.17579770080055,1.4799886924953878,10.62,57.99,2005.8,147.99886924953879,402.1223268787646,25.3,3.9,1.8,68.9,23530,3.6,11.3,85.1,True,9221.0,18,18,-4.942645945945946,104.9286081081081,matched,Sumatera
Kepulauan Bangka Belitung,131199.0,80052.0,109230.0,50998.0,53710.0,60010.0,354000.0,37.06186440677966,1.6389222005696298,5.08,65.69,1992.17,163.89222005696297,244.27294730962578,20.8,3.1,1.3,74.9,3849,5.6,15.1,79.4,True,1508.0,19,19,-2.3879769230769234,106.47385128205129,matched,Sumatera
Kepulauan Riau,89194.0,80478.0,94214.0,57539.0,61993.0,49645.0,343869.0,25.938366063820816,1.1083028902308705,4.78,67.05,2050.02,110.83028902308705,143.87753456035358,20.2,3.4,1.9,74.5,5379,3.7,13.1,83.2,True,2108.0,21,21,1.3288354838709673,105.37188387096778,matched,Sumatera
Jakarta Raya,87132.0,77147.0,83288.0,62990.0,73054.0,60669.0,357148.0,24.39660868883488,1.1294282344096336,4.14,68.15,2073.28,112.94282344096335,119.27067648588717,19.1,5.0,4.7,71.2,27664,4.5,13.1,82.4,True,10841.0,31,31,-6.23392,106.83278,matched,Jawa
Jawa Barat,109664.0,53640.0,45874.0,40658.0,41813.0,42645.0,224630.0,48.81983706539644,2.0444444444444443,7.08,62.26,2069.91,204.44444444444443,262.27249898356973,27.0,5.0,4.1,63.9,127590,5.1,16.6,78.3,True,50000.0,32,32,-6.870711111111111,107.54545277777778,matched,Jawa
Jawa Tengah,81779.0,51295.0,28127.0,32742.0,27701.0,34467.0,174332.0,46.90991900511668,1.5942879422945706,9.58,59.23,1993.03,159.42879422945705,295.22038915562615,23.6,4.8,3.0,68.6,97334,4.7,16.0,79.3,True,38143.0,33,33,-7.338711904761906,110.39961428571428,matched,Jawa
Yogyakarta,69868.0,55161.0,24041.0,48617.0,35913.0,44359.0,208091.0,33.5756952487133,1.266619531915665,10.4,62.32,2015.51,126.6619531915665,194.54793528805726,19.2,5.1,6.9,68.9,9852,3.6,14.4,82.0,True,3861.0,34,34,-7.944033333333334,110.5376,matched,Jawa
