province,year,area,poverty_rate,_inferred_from_2023
ACEH,2020,urban,10.31,
ACEH,2020,rural,17.96,
ACEH,2020,total,15.43,
SUMATERA UTARA,2020,urban,9.25,
SUMATERA UTARA,2020,rural,9.02,
SUMATERA UTARA,2020,total,9.14,
SUMATERA BARAT,2020,urban,5.22,
SUMATERA BARAT,2020,rural,7.83,
SUMATERA BARAT,2020,total,6.56,
RIAU,2020,urban,6.39,
RIAU,2020,rural,7.47,
RIAU,2020,total,7.04,
JAMBI,2020,urban,11.22,
JAMBI,2020,rural,6.4,
JAMBI,2020,total,7.97,
SUMATERA SELATAN,2020,urban,12.52,
SUMATERA SELATAN,2020,rural,13.25,
SUMATERA SELATAN,2020,total,12.98,
BENGKULU,2020,urban,15.06,
BENGKULU,2020,rural,15.42,
BENGKULU,2020,total,15.3,
LAMPUNG,2020,urban,9.59,
LAMPUNG,2020,rural,14.22,
LAMPUNG,2020,total,12.76,
KEP. BANGKA BELITUNG,2020,urban,3.43,
KEP. BANGKA BELITUNG,2020,rural,6.75,
KEP. BANGKA BELITUNG,2020,total,4.89,
KEP. RIAU,2020,urban,5.69,
KEP. RIAU,2020,rural,11.25,
KEP. RIAU,2020,total,6.13,
DKI JAKARTA,2020,urban,4.69,
DKI JAKARTA,2020,rural,,
DKI JAKARTA,2020,total,4.69,
JAWA BARAT,2020,urban,7.79,
JAWA BARAT,2020,rural,10.64,
JAWA BARAT,2020,total,8.43,
JAWA TENGAH,2020,urban,10.57,
JAWA TENGAH,2020,rural,13.2,
JAWA TENGAH,2020,total,11.84,
DI YOGYAKARTA,2020,urban,12.17,
DI YOGYAKARTA,2020,rural,14.57,
DI YOGYAKARTA,2020,total,12.8,
JAWA TIMUR,2020,urban,8.37,
JAWA TIMUR,2020,rural,15.16,
JAWA TIMUR,2020,total,11.46,
BANTEN,2020,urban,5.85,
BANTEN,2020,rural,8.57,
BANTEN,2020,total,6.63,
BALI,2020,urban,4.04,
BALI,2020,rural,5.4,
BALI,2020,total,4.45,
NUSA TENGGARA BARAT,2020,urban,15.05,
NUSA TENGGARA BARAT,2020,rural,13.42,
NUSA TENGGARA BARAT,2020,total,14.23,
NUSA TENGGARA TIMUR,2020,urban,8.76,
NUSA TENGGARA TIMUR,2020,rural,25.26,
NUSA TENGGARA TIMUR,2020,total,21.21,
KALIMANTAN BARAT,2020,urban,4.86,
