province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank,calorie_per_capita,protein_per_capita,poverty_rate,gini,internet_pct,mobile_pct,computer_pct,digital_index_pct,population_thousands,smoking_10_18_daily_pct,smoking_10plus_daily_pct,smoking_indoor_pct,passive_smoke_daily_pct,mdd_6_23_pct,mmf_6_23_pct,mad_6_23_pct,animal_protein_6_23_pct,stunting_0_59_total_pct,underweight_0_59_total_pct,wasting_0_59_total_pct,stunting_knowledge_correct_pct,stunting_knowledge_weight_not_gain_pct,stunting_knowledge_failed_growth_pct,stunting_knowledge_stunted_pct,stunting_knowledge_chronic_malnutrition_pct,smoking_10_18_current_pct,smoking_10_18_never_pct,smoking_10plus_current_pct,smoking_10plus_never_pct,cigarettes_per_day,cigarettes_per_week_occasional,cigarette_pack_price_rupiah,smoking_start_10_14_pct,smoking_start_15_19_pct,fish_daily_pct,fish_weekly_pct,fish_rare_pct,egg_daily_pct,egg_weekly_pct,egg_rare_pct,milk_daily_pct,milk_weekly_pct,milk_rare_pct,vulnerability_score,policy_priority_score,ski_health_context_score
Aceh,rural,30918.0,19112.0,,101026.0,59411.0,22740.0,132181.0,76.43004667841822,41615.0,1.7004595108649914,-0.30838596004988816,19,1989.55,60.64,12.64,0.294,88.95,94.26,15.49,66.23333333333333,5554.8,2.7,20.0,83.1,23.1,66.3,52.5,39.5,80.8,29.4,22.6,13.6,78.7,68.8,66.0,50.9,46.4,5.9,94.0,25.2,73.4,14.44,11.11,22397.0,13.3,64.6,37.8,52.9,9.3,23.0,69.7,7.3,6.3,32.6,61.1,46.10607788915885,42.73699582735101,49.351184681560554
Aceh,total,33975.0,21829.0,,97708.0,60754.0,26592.0,143150.0,68.25567586447782,36954.0,1.6082562465022878,-0.4650796250051173,17,1989.55,60.64,12.64,0.294,88.95,94.26,15.49,66.23333333333333,5554.8,2.7,20.0,83.1,23.1,66.3,52.5,39.5,80.8,29.4,22.6,13.6,78.7,68.8,66.0,50.9,46.4,5.9,94.0,25.2,73.4,14.44,11.11,22397.0,13.3,64.6,37.8,52.9,9.3,23.0,69.7,7.3,6.3,32.6,61.1,43.16031378336815,40.9695373638766,49.351184681560554
Aceh,urban,39621.0,26847.0,,91580.0,63233.0,33705.0,163406.0,56.04445369203089,28347.0,1.4482944032388152,-0.7842978816335444,15,1989.55,60.64,12.64,0.294,88.95,94.26,15.49,66.23333333333333,5554.8,2.7,20.0,83.1,23.1,66.3,52.5,39.5,80.8,29.4,22.6,13.6,78.7,68.8,66.0,50.9,46.4,5.9,94.0,25.2,73.4,14.44,11.11,22397.0,13.3,64.6,37.8,52.9,9.3,23.0,69.7,7.3,6.3,32.6,61.1,38.75980629695898,38.329232872031085,49.351184681560554
Bali,rural,51581.0,79401.0,,61581.0,60286.0,27573.0,218841.0,28.139608208699467,1295.0,1.0214809408486216,-2.5537097481366007,36,2295.02,67.22,3.8,0.348,92.16,95.54,26.63,71.44333333333333,4433.3,2.2,16.0,59.2,15.6,57.0,78.6,45.9,83.5,7.2,5.6,3.6,76.7,59.0,61.0,54.5,50.5,3.9,95.8,19.7,78.0,11.84,7.82,21820.0,9.4,58.2,8.3,69.1,22.7,13.3,80.7,6.0,6.1,26.1,67.8,13.593610009430584,19.892810081657892,37.09581920598827
Bali,total,49214.0,71217.0,,65609.0,61777.0,37414.0,219622.0,29.87360100536376,3832.0,1.062029557926089,-2.3474370894237073,37,2295.02,67.22,3.8,0.348,92.16,95.54,26.63,71.44333333333333,4433.3,2.2,16.0,59.2,15.6,57.0,78.6,45.9,83.5,7.2,5.6,3.6,76.7,59.0,61.0,54.5,50.5,3.9,95.8,19.7,78.0,11.84,7.82,21820.0,9.4,58.2,8.3,69.1,22.7,13.3,80.7,6.0,6.1,26.1,67.8,14.218481801569293,20.267733156941116,37.09581920598827
Bali,urban,48332.0,68164.0,,67112.0,62334.0,41085.0,219915.0,30.51724529932019,4778.0,1.076651586614047,-2.276835737275003,36,2295.02,67.22,3.8,0.348,92.16,95.54,26.63,71.44333333333333,4433.3,2.2,16.0,59.2,15.6,57.0,78.6,45.9,83.5,7.2,5.6,3.6,76.7,59.0,61.0,54.5,50.5,3.9,95.8,19.7,78.0,11.84,7.82,21820.0,9.4,58.2,8.3,69.1,22.7,13.3,80.7,6.0,6.1,26.1,67.8,14.450429226171124,20.406901611702214,37.09581920598827
Banten,rural,42684.0,23978.0,,140283.0,50989.0,23197.0,140848.0,99.59885834374646,89294.0,2.75124046362941,-0.004027572834912284,2,2184.28,66.03,5.7,0.359,93.02,93.86,20.89,69.25666666666666,12431.4,5.6,24.4,78.0,32.3,60.8,61.3,39.0,76.9,23.9,17.7,10.2,70.4,51.1,55.3,42.1,44.5,9.7,88.9,29.4,67.7,12.46,8.76,20656.0,15.8,59.0,11.2,73.7,15.1,23.8,68.8,7.4,9.7,10.6,36.2,42.355622208176314,40.46438703009618,41.01068472695447
Banten,total,46992.0,42277.0,,115022.0,64640.0,42347.0,196256.0,58.60814446437307,50382.0,1.779424504950495,-0.7062475004781694,6,2184.28,66.03,5.7,0.359,93.02,93.86,20.89,69.25666666666666,12431.4,5.6,24.4,78.0,32.3,60.8,61.3,39.0,76.9,23.9,17.7,10.2,70.4,51.1,55.3,42.1,44.5,9.7,88.9,29.4,67.7,12.46,8.76,20656.0,15.8,59.0,11.2,73.7,15.1,23.8,68.8,7.4,9.7,10.6,36.2,27.583968662600505,31.60139490275069,41.01068472695447
Banten,urban,48083.0,46913.0,,108623.0,68098.0,47197.0,210291.0,51.653660879448005,40525.0,1.595098240770654,-0.935971203152187,5,2184.28,66.03,5.7,0.359,93.02,93.86,20.89,69.25666666666666,12431.4,5.6,24.4,78.0,32.3,60.8,61.3,39.0,76.9,23.9,17.7,10.2,70.4,51.1,55.3,42.1,44.5,9.7,88.9,29.4,67.7,12.46,8.76,20656.0,15.8,59.0,11.2,73.7,15.1,23.8,68.8,7.4,9.7,10.6,36.2,25.077810257864826,30.097699859909284,41.01068472695447
Bengkulu,rural,39565.0,28285.0,,122831.0,84576.0,27282.0,179708.0,68.35032385870412,38255.0,1.4523150775633749,-0.4630508584966336,8,2032.04,60.58,12.52,0.343,90.62,94.92,19.79,68.44333333333334,2112.2,4.3,23.5,86.0,30.9,71.6,56.7,46.3,84.5,20.2,10.8,7.2,77.0,65.6,69.9,45.3,52.0,6.8,93.2,27.9,71.0,14.19,12.63,19255.0,19.4,62.7,7.8,78.9,13.3,9.8,81.8,8.4,7.9,30.8,61.3,43.1043336597095,43.352150071882846,60.652480487304096
