province,smoking_10_18_daily_pct,smoking_10plus_daily_pct,smoking_indoor_pct,passive_smoke_daily_pct,mdd_6_23_pct,mmf_6_23_pct,mad_6_23_pct,animal_protein_6_23_pct,stunting_0_59_total_pct,underweight_0_59_total_pct,wasting_0_59_total_pct
Aceh,2.7,20.0,83.1,23.1,66.3,52.5,39.5,80.8,29.4,22.6,13.6
Sumatera Utara,1.8,18.7,86.8,24.7,65.8,53.6,40.9,83.6,18.9,13.2,7.9
Sumatera Barat,4.3,24.6,90.3,38.3,62.4,61.6,40.7,82.6,23.7,17.6,9.4
Riau,2.2,20.9,86.8,30.3,56.5,57.3,35.6,79.1,13.6,12.4,8.1
Jambi,1.7,16.8,86.8,21.2,67.0,41.0,30.0,82.2,13.5,8.9,6.6
Sumatera Selatan,3.0,22.1,90.1,27.7,59.7,52.9,31.3,81.4,20.3,15.4,9.7
Bengkulu,4.3,23.5,86.0,30.9,71.6,56.7,46.3,84.5,20.2,10.8,7.2
Lampung,4.2,25.3,91.6,37.4,63.3,56.0,36.3,80.2,14.9,12.2,7.3
Kepulauan Bangka Belitung,2.9,20.8,87.1,26.3,55.1,54.7,34.0,74.1,20.7,13.4,8.0
Kepulauan Riau,1.6,20.2,71.3,21.8,53.2,64.9,36.9,85.4,16.8,12.6,6.3
Jakarta Raya,2.4,19.1,54.2,21.4,71.3,69.1,54.2,84.4,17.6,14.6,10.1
Jawa Barat,7.3,27.0,75.1,36.4,61.3,67.9,43.4,78.7,21.7,14.7,6.3
Jawa Tengah,5.9,23.6,83.2,33.0,67.1,68.5,47.4,79.3,20.7,14.4,7.1
Yogyakarta,4.7,19.2,67.0,24.3,77.6,79.6,64.1,88.3,18.0,13.4,7.1
Jawa Timur,5.3,22.8,83.5,31.2,62.2,60.0,39.1,76.9,17.6,13.3,6.8
Banten,5.6,24.4,78.0,32.3,60.8,61.3,39.0,76.9,23.9,17.7,10.2
Bali,2.2,16.0,59.2,15.6,57.0,78.6,45.9,83.5,7.2,5.6,3.6
Nusa Tenggara Barat,6.5,27.7,79.6,35.9,61.2,63.9,39.9,80.3,24.5,20.8,8.6
Nusa Tenggara Timur,3.6,18.7,92.9,27.5,44.8,51.4,26.0,70.0,37.9,29.7,13.6
Kalimantan Barat,2.8,19.6,92.7,28.1,60.9,57.4,37.6,80.7,24.5,21.1,13.3
Kalimantan Tengah,2.5,19.1,90.5,26.8,63.2,53.9,39.0,77.5,23.5,17.7,9.0
Kalimantan Selatan,2.8,16.5,87.5,22.5,58.0,57.0,37.8,76.8,24.7,21.6,12.4
Kalimantan Timur,3.3,18.3,78.6,25.1,60.1,62.6,40.8,79.0,22.8,18.1,10.1
Kalimantan Utara,2.5,16.5,74.3,16.9,52.6,51.6,30.2,73.1,17.4,15.3,8.7
Sulawesi Utara,2.9,19.0,86.2,25.2,45.6,55.2,28.7,64.1,21.3,14.3,9.2
Sulawesi Tengah,4.2,23.1,92.0,37.1,45.6,51.9,27.6,71.8,27.2,24.4,12.9
Sulawesi Selatan,4.6,20.6,89.3,30.7,48.6,57.9,28.9,72.8,27.4,20.0,9.1
Sulawesi Tenggara,2.0,17.5,92.7,25.8,48.9,56.4,30.0,73.5,30.0,23.9,
Gorontalo,3.3,22.3,91.9,37.4,46.0,55.7,27.2,70.6,26.8,22.0,
Sulawesi Barat,3.2,20.1,94.6,32.6,63.5,59.4,41.2,77.6,30.4,23.1,
Maluku,,,88.4,23.5,50.0,49.0,29.7,72.9,28.4,25.1,
Maluku Utara,,,90.2,,51.4,41.0,26.6,72.5,23.6,20.9,
Papua Barat,,,,,58.6,45.6,28.2,77.6,,,
Papua,,,,,63.2,52.5,36.1,77.9,33.6,,
