province,year,calorie_per_capita,protein_per_capita
ACEH,2007,2210.02,61.19
ACEH,2008,2080.83,57.49
ACEH,2009,2010.37,54.57
ACEH,2010,2075.79,57.45
ACEH,2011,1962.62,55.58
ACEH,2012,1869.93,53.39
ACEH,2013,1823.36,51.41
ACEH,2014,1794.04,51.76
ACEH,2015,1989.61,54.08
ACEH,2016,2021.08,55.12
ACEH,2017,2115.09,59.63
ACEH,2018,2101.57,58.99
ACEH,2019,2059.02,58.88
ACEH,2020,2091.25,60.87
ACEH,2021,2171.13,63.02
ACEH,2022,2064.3,61.17
ACEH,2023,2052.85,61.05
ACEH,2024,1989.55,60.64
SUMATERA UTARA,2007,2069.52,58.52
SUMATERA UTARA,2008,2074.76,60.13
SUMATERA UTARA,2009,1921.7,55.04
SUMATERA UTARA,2010,1970.81,57.13
SUMATERA UTARA,2011,1993.59,57.58
SUMATERA UTARA,2012,1892.36,54.15
SUMATERA UTARA,2013,1848.8,53.43
SUMATERA UTARA,2014,1883.81,54.98
SUMATERA UTARA,2015,2010.98,54.66
SUMATERA UTARA,2016,1999.99,54.93
SUMATERA UTARA,2017,2133.84,61.03
SUMATERA UTARA,2018,2184.97,63.38
SUMATERA UTARA,2019,2177.35,63.49
SUMATERA UTARA,2020,2121.57,62.57
SUMATERA UTARA,2021,2149.23,63.26
SUMATERA UTARA,2022,2123.41,64.65
SUMATERA UTARA,2023,2093.67,62.91
SUMATERA UTARA,2024,2041.63,62.11
SUMATERA BARAT,2007,2131.21,56.07
SUMATERA BARAT,2008,2160.13,56.98
SUMATERA BARAT,2009,2082.73,55.28
SUMATERA BARAT,2010,2056.46,56.87
SUMATERA BARAT,2011,2082.06,56.89
SUMATERA BARAT,2012,2023.38,54.66
SUMATERA BARAT,2013,1893.56,50.54
SUMATERA BARAT,2014,1901.48,51.44
SUMATERA BARAT,2015,2091.49,53.68
SUMATERA BARAT,2016,2162.82,56.71
SUMATERA BARAT,2017,2163.52,58.4
SUMATERA BARAT,2018,2156.7,59.01
SUMATERA BARAT,2019,2131.23,58.66
SUMATERA BARAT,2020,2109.93,57.92
SUMATERA BARAT,2021,2135.3,58.39
SUMATERA BARAT,2022,2109.43,59.24
SUMATERA BARAT,2023,2086.06,58.68
SUMATERA BARAT,2024,2032.94,57.79
RIAU,2007,2128.83,60.85
RIAU,2008,2144.41,57.95
RIAU,2009,1932.54,54.73
RIAU,2010,1903.59,55.03
RIAU,2011,2020.46,57.71
RIAU,2012,1862.37,52.77
RIAU,2013,1871.37,53.06
RIAU,2014,1868.26,53.43
RIAU,2015,2061.26,54.71
RIAU,2016,2033.47,54.84
RIAU,2017,2112.58,59.44
RIAU,2018,2079.67,58.47
RIAU,2019,2068.89,58.24
RIAU,2020,2076.15,59.41
RIAU,2021,2079.53,58.04
RIAU,2022,2022.05,59.69
RIAU,2023,2048.04,59.97
RIAU,2024,2017.1,59.16
JAMBI,2007,2074.99,57.13
JAMBI,2008,2057.7,56.22
JAMBI,2009,1904.06,51.54
JAMBI,2010,1927.61,52.62
JAMBI,2011,1960.08,54.56
JAMBI,2012,1894.87,52.06
JAMBI,2013,1775.98,49.32
JAMBI,2014,1764.53,48.14
JAMBI,2015,1986.49,51.31
JAMBI,2016,1988.23,51.89
JAMBI,2017,2108.89,57.18
JAMBI,2018,2106.1,57.73
JAMBI,2019,2057.48,57.83
JAMBI,2020,2080.6,57.91
JAMBI,2021,2140.54,60.01
JAMBI,2022,2069.51,60.7
JAMBI,2023,2042.69,59.52
JAMBI,2024,2011.88,58.73
SUMATERA SELATAN,2007,2058.19,58.21
SUMATERA SELATAN,2008,2106.36,56.86
SUMATERA SELATAN,2009,1991.76,53.62
SUMATERA SELATAN,2010,1989.11,54.67
SUMATERA SELATAN,2011,1999.53,55.86
SUMATERA SELATAN,2012,1925.99,52.84
SUMATERA SELATAN,2013,1848.17,51.81
SUMATERA SELATAN,2014,1887.11,53.43
SUMATERA SELATAN,2015,2062.86,55.35
SUMATERA SELATAN,2016,2029.93,54.67
SUMATERA SELATAN,2017,2250.05,63.12
SUMATERA SELATAN,2018,2134.53,59.34
SUMATERA SELATAN,2019,2121.99,59.9
SUMATERA SELATAN,2020,2127.77,59.85
SUMATERA SELATAN,2021,2232.11,63.62
SUMATERA SELATAN,2022,2182.47,65.18
SUMATERA SELATAN,2023,2191.06,65.1
SUMATERA SELATAN,2024,2196.16,66.43
BENGKULU,2007,2108.93,56.56
BENGKULU,2008,2074.01,55.18
BENGKULU,2009,1982.19,52.84
BENGKULU,2010,2007.41,54.4
BENGKULU,2011,1988.76,55.93
BENGKULU,2012,1892.07,52.9
BENGKULU,2013,1883.73,51.75
