province,commodity,area,value
Papua Selatan,Padi-padian/Cereals,urban,94349.0
Papua Selatan,Umbi-umbian/Tubers,urban,1796.0
Papua Selatan,Ikan/udang/cumi/kerang,urban,108466.0
Papua Selatan,Daging/Meat,urban,74488.0
Papua Selatan,Telur dan susu/Eggs and milk,urban,61437.0
Papua Selatan,Sayur-sayuran/Vegetables,urban,79277.0
Papua Selatan,Kacang-kacangan/Legumes,urban,18708.0
Papua Selatan,Buah-buahan/Fruits,urban,5036.0
Papua Selatan,Minyak dan kelapa/Oil and coconut,urban,22482.0
Papua Selatan,Bahan minuman/Beverages stuffs,urban,25477.0
Papua Selatan,Bumbu-bumbuan/Spices,urban,17655.0
Papua Selatan,Konsumsi lainnya,urban,16291.0
Papua Selatan,Makanan dan minuman jadi,urban,21816.0
Papua Selatan,Rokok/Cigarettes,urban,106237.0
Papua Selatan,Jumlah makanan/Total food,urban,911342.0
Papua Selatan,Perumahan dan fasilitas rumah tangga,urban,606097.0
Papua Selatan,Aneka barang dan jasa,urban,222907.0
Papua Selatan,Pakaian alas kaki dan tutup kepala,urban,35472.0
Papua Selatan,Barang tahan lama,urban,44038.0
Papua Selatan,Pajak pungutan dan asuransi,urban,65539.0
Papua Selatan,Keperluan pesta,urban,17457.0
Papua Selatan,Jumlah bukan makanan/Total non-food,urban,99151.0
Papua Selatan,Jumlah/Total,urban,1902852.0
Papua Selatan,Padi-padian/Cereals,rural,6564.0
Papua Selatan,Umbi-umbian/Tubers,rural,41605.0
Papua Selatan,Ikan/udang/cumi/kerang,rural,83398.0
Papua Selatan,Daging/Meat,rural,46452.0
Papua Selatan,Telur dan susu/Eggs and milk,rural,22556.0
Papua Selatan,Sayur-sayuran/Vegetables,rural,65768.0
Papua Selatan,Kacang-kacangan/Legumes,rural,9987.0
Papua Selatan,Buah-buahan/Fruits,rural,37587.0
Papua Selatan,Minyak dan kelapa/Oil and coconut,rural,19619.0
Papua Selatan,Bahan minuman/Beverages stuffs,rural,24228.0
Papua Selatan,Bumbu-bumbuan/Spices,rural,13288.0
Papua Selatan,Konsumsi lainnya,rural,13647.0
Papua Selatan,Makanan dan minuman jadi,rural,113974.0
Papua Selatan,Rokok/Cigarettes,rural,99195.0
Papua Selatan,Jumlah makanan/Total food,rural,656844.0
Papua Selatan,Perumahan dan fasilitas rumah tangga,rural,299683.0
Papua Selatan,Aneka barang dan jasa,rural,98773.0
Papua Selatan,Pakaian alas kaki dan tutup kepala,rural,23112.0
Papua Selatan,Barang tahan lama,rural,32153.0
Papua Selatan,Pajak pungutan dan asuransi,rural,38896.0
Papua Selatan,Keperluan pesta,rural,5369.0
Papua Selatan,Jumlah bukan makanan/Total non-food,rural,497986.0
Papua Selatan,Jumlah/Total,rural,115483.0
Papua Selatan,Padi-padian/Cereals,total,7609.0
Papua Selatan,Umbi-umbian/Tubers,total,32999.0
