province,year,area,food_spend,nonfood_spend,total_spend,engel_ratio
ACEH,2023,total,702547.0,523429.0,1225976.0,0.5730511853413117
ACEH,2024,total,722434.0,542299.0,1264733.0,0.5712146358164134
SUMATERA UTARA,2023,total,707588.0,597752.0,1305339.0,0.5420722126589338
SUMATERA UTARA,2024,total,734270.0,606687.0,1340957.0,0.5475716223562724
SUMATERA BARAT,2023,total,747469.0,664354.0,1411823.0,0.5294353470654608
SUMATERA BARAT,2024,total,797728.0,683125.0,1480853.0,0.5386949278557697
RIAU,2023,total,776145.0,751405.0,1527549.0,0.5080982672241611
RIAU,2024,total,824229.0,738936.0,1563165.0,0.5272821487175058
JAMBI,2023,total,720949.0,703176.0,1424125.0,0.5062399719125779
JAMBI,2024,total,773667.0,698833.0,1472501.0,0.5254101695007338
SUMATERA SELATAN,2023,total,647779.0,562206.0,1209986.0,0.5353607397110379
SUMATERA SELATAN,2024,total,711510.0,577490.0,1289001.0,0.5519856074587995
BENGKULU,2023,total,679166.0,653392.0,1332558.0,0.509670873613006
BENGKULU,2024,total,724415.0,691561.0,1415976.0,0.5116011853308248
LAMPUNG,2023,total,627879.0,575138.0,1203017.0,0.5219203053655933
LAMPUNG,2024,total,656937.0,544537.0,1201473.0,0.5467763320524057
KEPULAUAN BANGKA BELITUNG,2023,total,879797.0,847753.0,1727550.0,0.5092744059506237
KEPULAUAN BANGKA BELITUNG,2024,total,929142.0,863932.0,1793074.0,0.5181838563271789
KEPULAUAN RIAU,2023,total,863530.0,1126172.0,1989703.0,0.4339994461484955
KEPULAUAN RIAU,2024,total,938634.0,1170437.0,2109071.0,0.4450461838411319
DKI JAKARTA,2023,total,1055896.0,1735820.0,2791716.0,0.37822471913332156
DKI JAKARTA,2024,total,1108228.0,1686257.0,2794485.0,0.39657682900427094
JAWA BARAT,2023,total,761832.0,805834.0,1567666.0,0.48596576056379354
JAWA BARAT,2024,total,803842.0,829190.0,1633032.0,0.492238976333593
JAWA TENGAH,2023,total,601528.0,608378.0,1209906.0,0.4971692015743372
JAWA TENGAH,2024,total,647311.0,624368.0,1271678.0,0.5090211515808247
DI YOGYAKARTA,2023,total,722132.0,1009428.0,1731560.0,0.41704128069486474
DI YOGYAKARTA,2024,total,748182.0,1010683.0,1758865.0,0.425377729387986
JAWA TIMUR,2023,total,657408.0,666078.0,1323486.0,0.4967245592322095
JAWA TIMUR,2024,total,689148.0,667796.0,1356943.0,0.507868053411234
BANTEN,2023,total,847452.0,896235.0,1743687.0,0.4860115376211442
BANTEN,2024,total,873268.0,898894.0,1772162.0,0.49276984835472154
BALI,2023,total,729755.0,1011768.0,1741523.0,0.4190326513057824
BALI,2024,total,804982.0,1067778.0,1872760.0,0.4298372455626989
NUSA TENGGARA BARAT,2023,total,711180.0,549640.0,1260820.0,0.5640614837962595
NUSA TENGGARA BARAT,2024,total,730071.0,547068.0,1277139.0,0.5716456861782468
NUSA TENGGARA TIMUR,2023,total,516672.0,444700.0,961372.0,0.5374319202140274
NUSA TENGGARA TIMUR,2024,total,541265.0,434589.0,975854.0,0.5546577664281747
KALIMANTAN BARAT,2023,total,695043.0,650509.0,1345552.0,0.5165485986420443
KALIMANTAN BARAT,2024,total,735785.0,652292.0,1388077.0,0.5300750606774696
