city,group,sub_group,year,value
KOTA MEULABOH,2020,"Makanan, Minuman dan Tembakau",2020,112.75500000000004
KOTA BANDA ACEH,2020,"Makanan, Minuman dan Tembakau",2020,103.08333333333336
KOTA LHOKSEUMAWE,2020,"Makanan, Minuman dan Tembakau",2020,105.32666666666668
KOTA SIBOLGA,2020,"Makanan, Minuman dan Tembakau",2020,104.26833333333332
KOTA PEMATANG SIANTAR,2020,"Makanan, Minuman dan Tembakau",2020,104.40666666666664
KOTA MEDAN,2020,"Makanan, Minuman dan Tembakau",2020,102.59166666666664
KOTA PADANGSIDIMPUAN,2020,"Makanan, Minuman dan Tembakau",2020,104.22833333333335
KOTA GUNUNGSITOLI,2020,"Makanan, Minuman dan Tembakau",2020,107.16666666666669
KOTA PADANG,2020,"Makanan, Minuman dan Tembakau",2020,104.45833333333336
KOTA BUKITTINGGI,2020,"Makanan, Minuman dan Tembakau",2020,103.1825
TEMBILAHAN,2020,"Makanan, Minuman dan Tembakau",2020,106.1025
KOTA PEKANBARU,2020,"Makanan, Minuman dan Tembakau",2020,103.72833333333332
KOTA DUMAI,2020,"Makanan, Minuman dan Tembakau",2020,105.57
BUNGO,2020,"Makanan, Minuman dan Tembakau",2020,105.0125
KOTA JAMBI,2020,"Makanan, Minuman dan Tembakau",2020,102.39916666666666
KOTA PALEMBANG,2020,"Makanan, Minuman dan Tembakau",2020,103.77833333333336
KOTA LUBUKLINGGAU,2020,"Makanan, Minuman dan Tembakau",2020,103.1775
KOTA BENGKULU,2020,"Makanan, Minuman dan Tembakau",2020,103.285
KOTA BANDAR LAMPUNG,2020,"Makanan, Minuman dan Tembakau",2020,106.98833333333334
KOTA METRO,2020,"Makanan, Minuman dan Tembakau",2020,105.71083333333335
TANJUNG PANDAN,2020,"Makanan, Minuman dan Tembakau",2020,104.73833333333336
KOTA PANGKAL PINANG,2020,"Makanan, Minuman dan Tembakau",2020,103.77916666666664
KOTA BATAM,2020,"Makanan, Minuman dan Tembakau",2020,106.64749999999998
KOTA TANJUNG PINANG,2020,"Makanan, Minuman dan Tembakau",2020,104.63583333333332
