province,year,group,sub_group,value
ACEH,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",100.52583333333334
ACEH,2018,2020,Jasa Keuangan,100.0
ACEH,2018,2020,Layanan Informasi dan Komunikasi,100.78
ACEH,2018,2020,Peralatan Informasi dan Komunikasi,99.89041666666668
ACEH,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",100.38000000000001
ACEH,2018,2021,Jasa Keuangan,99.95708333333333
ACEH,2018,2021,Layanan Informasi dan Komunikasi,100.3775
ACEH,2018,2021,Peralatan Informasi dan Komunikasi,100.56416666666668
ACEH,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",100.21916666666668
ACEH,2018,2022,Jasa Keuangan,97.78999999999999
ACEH,2018,2022,Layanan Informasi dan Komunikasi,100.39500000000001
ACEH,2018,2022,Peralatan Informasi dan Komunikasi,100.60625000000002
ACEH,2020,2020,Jasa Pelayanan Makanan dan Minuman,105.98249999999999
ACEH,2020,2020,Makanan,102.83583333333331
ACEH,2020,2020,"Makanan, Minuman dan Tembakau",104.20500000000001
ACEH,2020,2020,Minuman yang Tidak Beralkohol,105.04666666666668
ACEH,2020,2020,Penyediaan Makanan dan Minuman / Restoran,105.98249999999999
ACEH,2020,2020,Rokok dan Tembakau,112.1575
ACEH,2021,2021,Jasa Pelayanan Makanan dan Minuman,106.63583333333332
ACEH,2021,2021,Makanan,109.89666666666665
ACEH,2021,2021,"Makanan, Minuman dan Tembakau",110.00125
ACEH,2021,2021,Minuman yang Tidak Beralkohol,103.79291666666668
ACEH,2021,2021,Penyediaan Makanan dan Minuman / Restoran,106.63583333333332
ACEH,2021,2021,Rokok dan Tembakau,114.88708333333332
ACEH,2022,2022,Jasa Pelayanan Makanan dan Minuman,110.98666666666665
ACEH,2022,2022,Makanan,116.49124999999998
ACEH,2022,2022,"Makanan, Minuman dan Tembakau",116.0
ACEH,2022,2022,Minuman yang Tidak Beralkohol,105.78458333333333
ACEH,2022,2022,Penyediaan Makanan dan Minuman / Restoran,110.98666666666665
ACEH,2022,2022,Rokok dan Tembakau,119.96666666666667
ACEH,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",100.14999999999999
ACEH,2023,2023,Jasa Keuangan,97.78999999999999
ACEH,2023,2023,Jasa Pelayanan Makanan dan Minuman,115.09249999999999
ACEH,2023,2023,Layanan Informasi dan Komunikasi,100.47625
ACEH,2023,2023,Makanan,120.14583333333334
ACEH,2023,2023,"Makanan, Minuman dan Tembakau",120.38958333333335
ACEH,2023,2023,Minuman yang Tidak Beralkohol,108.53083333333333
ACEH,2023,2023,Penyediaan Makanan dan Minuman / Restoran,115.09249999999999
ACEH,2023,2023,Peralatan Informasi dan Komunikasi,100.01791666666665
ACEH,2023,2023,Rokok dan Tembakau,130.10791666666665
BALI,2018,2020,Asuransi,100.04
BALI,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",103.44666666666664
BALI,2018,2020,Jasa Keuangan,100.0
BALI,2018,2020,Layanan Informasi dan Komunikasi,101.83
BALI,2018,2020,Peralatan Informasi dan Komunikasi,109.91916666666664
BALI,2018,2021,Asuransi,100.04
BALI,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",104.82333333333334
