province,year,group,sub_group,value
ACEH,2020,2020,Makanan,0.6670833333333334
ACEH,2020,2020,"Makanan, Minuman dan Tembakau",0.5929166666666668
ACEH,2020,2020,Minuman yang Tidak Beralkohol,0.02124999999999995
ACEH,2020,2020,Rokok dan Tembakau,0.5425
ACEH,2021,2021,Makanan,0.3354166666666666
ACEH,2021,2021,"Makanan, Minuman dan Tembakau",0.27625
ACEH,2021,2021,Minuman yang Tidak Beralkohol,-0.08625000000000001
ACEH,2021,2021,Rokok dan Tembakau,0.16749999999999995
ACEH,2022,2022,Makanan,0.3566666666666667
ACEH,2022,2022,"Makanan, Minuman dan Tembakau",0.38125
ACEH,2022,2022,Minuman yang Tidak Beralkohol,0.33999999999999997
ACEH,2022,2022,Rokok dan Tembakau,0.6141666666666667
ACEH,2023,2023,Makanan,0.1525
ACEH,2023,2023,"Makanan, Minuman dan Tembakau",0.20249999999999993
ACEH,2023,2023,Minuman yang Tidak Beralkohol,0.0479166666666666
ACEH,2023,2023,Rokok dan Tembakau,0.5816666666666668
BALI,2020,2020,Makanan,0.1324999999999999
BALI,2020,2020,"Makanan, Minuman dan Tembakau",0.1358333333333333
BALI,2020,2020,Minuman Beralkohol,0.325
BALI,2020,2020,Minuman yang Tidak Beralkohol,0.0808333333333333
BALI,2020,2020,Rokok dan Tembakau,0.2716666666666666
BALI,2021,2021,Makanan,0.3683333333333332
BALI,2021,2021,"Makanan, Minuman dan Tembakau",0.3333333333333332
BALI,2021,2021,Minuman Beralkohol,0.2825
BALI,2021,2021,Minuman yang Tidak Beralkohol,0.0708333333333333
BALI,2021,2021,Rokok dan Tembakau,0.45
BALI,2022,2022,Makanan,0.5941666666666667
BALI,2022,2022,"Makanan, Minuman dan Tembakau",0.5550000000000002
BALI,2022,2022,Minuman Beralkohol,0.8466666666666667
BALI,2022,2022,Minuman yang Tidak Beralkohol,0.0683333333333333
BALI,2022,2022,Rokok dan Tembakau,0.9183333333333334
BALI,2023,2023,Makanan,0.5341666666666666
BALI,2023,2023,"Makanan, Minuman dan Tembakau",0.5183333333333333
BALI,2023,2023,Minuman Beralkohol,-0.0183333333333333
BALI,2023,2023,Minuman yang Tidak Beralkohol,0.1816666666666666
BALI,2023,2023,Rokok dan Tembakau,0.8308333333333334
BANTEN,2020,2020,Makanan,0.17138888888888884
BANTEN,2020,2020,"Makanan, Minuman dan Tembakau",0.22749999999999995
BANTEN,2020,2020,Minuman yang Tidak Beralkohol,0.23583333333333334
BANTEN,2020,2020,Rokok dan Tembakau,0.515
