province,internet_pct_rural,internet_pct_total,internet_pct_urban,mobile_pct_rural,mobile_pct_total,mobile_pct_urban,computer_pct_rural,computer_pct_total,computer_pct_urban,exp_food_total,exp_food_urban,exp_food_rural,exp_mamin_jadi_total,exp_rokok_total,exp_protein_total,exp_nonfood_total,exp_total_spend,engel_ratio_total,digital_lifestyle_index,poverty_rate_total,poverty_line_total,gini_total,inflation_food_rate,population_2024,Latitude,Longitude
ACEH,86.97,88.95,92.6,93.07,94.26,96.44,9.47,15.49,26.55,722434.0,789794.0,685956.0,219398.0,97708.0,139505.0,542299.0,1264733.0,0.5712146358164134,0.43894113510715166,12.64,674943.5,0.294,,5554.8,4.0405070151375,96.649002928244
BALI,85.25,92.16,94.74,90.29,95.54,97.5,10.92,26.63,32.49,804982.0,852203.0,678397.0,291413.0,65609.0,149950.0,1067778.0,1872760.0,0.4298372455626989,0.44351550717904253,3.8,563546.5,0.348,,4433.3,-8.455528022999,115.07188561078
BANTEN,84.91,93.02,94.98,87.21,93.86,95.47,4.05,20.89,24.97,873268.0,905807.0,744822.0,302536.0,115022.0,149351.0,898894.0,1772162.0,0.4927698483547215,0.47815561774850335,5.7,642304.5,0.359,,12431.4,-6.4120984789109,105.93988078082
BENGKULU,88.05,90.62,95.83,93.27,94.92,98.24,12.14,19.79,35.23,724415.0,776270.0,698131.0,172927.0,114951.0,124624.0,691561.0,1415976.0,0.5116011853308248,0.3973937591021721,12.52,692692.5,0.343,,2112.2,-3.8956670126217,102.3929013022
DI YOGYAKARTA,82.34,89.5,91.71,85.52,90.93,92.6,11.9,31.55,37.6,748182.0,797265.0,597343.0,299387.0,69868.0,108571.0,1010683.0,1758865.0,0.425377729387986,0.4935363320689351,10.4,586807.5,0.428,,3759.5,-7.8729522175198,110.41881094232
DKI JAKARTA,,98.18,98.18,,98.49,98.49,,39.33,39.33,1108228.0,1108228.0,,476836.0,87132.0,219332.0,1686257.0,2794485.0,0.3965768290042709,0.5088916721107931,4.14,846085.0,0.431,,10684.9,-5.7775778675737,106.67797574114
GORONTALO,86.61,90.17,94.25,92.19,94.98,98.18,9.21,17.23,26.43,620823.0,672447.0,577494.0,162502.0,85726.0,113680.0,641446.0,1262268.0,0.4918313702003061,0.3998369905754136,13.87,487816.0,0.413,,1227.8,0.67341929051864,122.35676989916
JAMBI,89.41,90.59,93.01,94.98,95.61,96.91,11.41,17.6,30.31,773667.0,809892.0,755548.0,198497.0,114981.0,139320.0,698833.0,1472501.0,0.5254101695007338,0.40518465954990973,7.26,683490.0,0.315,,3724.3,-1.7516813189869,102.81327938858
JAWA BARAT,82.2,90.58,92.83,86.52,92.4,93.98,6.11,18.6,21.95,803842.0,820909.0,734798.0,283792.0,109664.0,128345.0,829190.0,1633032.0,0.492238976333593,0.48946932357353806,7.08,532551.0,0.428,,50345.2,-6.8695633505675,107.60859278383
JAWA TENGAH,86.44,88.89,91.12,88.77,90.56,92.18,8.88,14.82,20.23,647311.0,687953.0,600688.0,223602.0,81779.0,88570.0,624368.0,1271678.0,0.5090211515808247,0.47176859345816774,9.58,520605.5,0.364,,37892.3,-6.9688115063451,110.1236334162
