province,year,internet_pct,poverty_rate,calorie_per_capita,protein_per_capita
ACEH,2018,79.85,14.75,2101.57,58.99
ACEH,2019,79.85,14.75,2059.02,58.88
ACEH,2020,71.97,15.43,2091.25,60.87
ACEH,2021,75.54,15.53,2171.13,63.02
ACEH,2022,79.85,14.75,2064.3,61.17
ACEH,2023,86.46,14.45,2052.85,61.05
ACEH,2024,88.95,12.64,1989.55,60.64
BALI,2018,87.8,4.45,2282.83,65.62
BALI,2019,87.8,4.45,2257.48,65.99
BALI,2020,85.67,4.45,2293.11,66.61
BALI,2021,87.8,4.72,2196.81,62.84
BALI,2022,91.21,4.53,2145.71,61.37
BALI,2023,87.15,4.25,2263.58,65.86
BALI,2024,92.16,3.8,2295.02,67.22
BANTEN,2018,91.11,6.24,2261.77,66.88
BANTEN,2019,91.11,6.24,2248.65,67.07
BANTEN,2020,84.07,6.63,2250.36,67.39
BANTEN,2021,87.45,6.5,2259.08,66.69
BANTEN,2022,91.11,6.24,2270.48,69.31
BANTEN,2023,91.18,6.17,2207.37,66.93
BANTEN,2024,93.02,5.7,2184.28,66.03
BENGKULU,2018,86.43,14.34,2162.35,59.37
BENGKULU,2019,86.43,14.34,2086.11,58.28
BENGKULU,2020,71.69,15.3,2107.27,59.3
BENGKULU,2021,78.03,14.43,2124.59,58.9
BENGKULU,2022,86.43,14.34,2037.55,60.29
BENGKULU,2023,88.82,14.04,2059.98,60.32
BENGKULU,2024,90.62,12.52,2032.04,60.58
DI YOGYAKARTA,2018,89.03,11.49,2223.71,70.18
DI YOGYAKARTA,2019,89.03,11.49,2200.67,70.43
DI YOGYAKARTA,2020,85.83,12.8,2146.57,68.95
DI YOGYAKARTA,2021,86.88,11.91,2143.98,65.25
DI YOGYAKARTA,2022,89.03,11.49,2024.44,62.65
DI YOGYAKARTA,2023,90.18,11.04,2052.77,63.78
DI YOGYAKARTA,2024,89.5,10.4,2015.51,62.32
DKI JAKARTA,2018,95.44,4.61,2229.75,72.49
DKI JAKARTA,2019,95.44,4.61,2191.06,70.75
DKI JAKARTA,2020,93.24,4.69,2198.72,70.52
DKI JAKARTA,2021,95.44,4.67,2223.32,70.51
DKI JAKARTA,2022,95.39,4.61,2146.87,68.15
DKI JAKARTA,2023,98.08,4.44,2157.83,70.65
DKI JAKARTA,2024,98.18,4.14,2073.28,68.15
GORONTALO,2018,85.52,15.41,2053.45,58.98
GORONTALO,2019,85.52,15.41,2089.68,60.83
GORONTALO,2020,76.98,15.59,2045.01,58.82
GORONTALO,2021,80.89,15.41,2009.24,57.32
GORONTALO,2022,85.52,15.51,1958.11,57.1
GORONTALO,2023,87.93,15.15,1996.25,58.46
GORONTALO,2024,90.17,13.87,1938.17,58.12
JAMBI,2018,87.34,7.67,2106.1,57.73
JAMBI,2019,87.34,7.67,2057.48,57.83
JAMBI,2020,75.56,7.97,2080.6,57.91
JAMBI,2021,80.91,7.67,2140.54,60.01
JAMBI,2022,87.34,7.7,2069.51,60.7
JAMBI,2023,89.52,7.58,2042.69,59.52
JAMBI,2024,90.59,7.26,2011.88,58.73
JAWA BARAT,2018,87.57,7.97,2215.58,64.82
JAWA BARAT,2019,87.57,7.97,2196.68,64.84
JAWA BARAT,2020,82.18,8.43,2173.59,64.38
JAWA BARAT,2021,84.26,7.97,2213.98,64.79
JAWA BARAT,2022,87.57,7.98,2115.7,63.62
JAWA BARAT,2023,87.92,7.62,2110.33,63.44
JAWA BARAT,2024,90.58,7.08,2069.91,62.26
JAWA TENGAH,2018,85.61,10.98,2106.67,60.61
JAWA TENGAH,2019,85.61,10.98,2045.63,59.8
JAWA TENGAH,2020,79.66,11.84,2054.43,60.19
JAWA TENGAH,2021,82.88,11.25,2072.28,59.28
JAWA TENGAH,2022,88.24,10.98,2017.64,59.78
JAWA TENGAH,2023,85.61,10.77,2024.95,59.65
JAWA TENGAH,2024,88.89,9.58,1993.03,59.23
JAWA TIMUR,2018,84.28,10.49,2132.82,61.78
JAWA TIMUR,2019,84.28,10.49,2088.09,60.79
JAWA TIMUR,2020,77.21,11.46,2080.67,60.27
