province,year,population_thousands
ACEH,2020,5274.9
ACEH,2021,5334.9
ACEH,2022,5409.2
ACEH,2023,5482.5
ACEH,2024,5554.8
SUMATERA UTARA,2020,14799.4
SUMATERA UTARA,2021,14970.5
SUMATERA UTARA,2022,15180.5
SUMATERA UTARA,2023,15386.6
SUMATERA UTARA,2024,15588.5
SUMATERA BARAT,2020,5534.5
SUMATERA BARAT,2021,5597.3
SUMATERA BARAT,2022,5677.6
SUMATERA BARAT,2023,5757.2
SUMATERA BARAT,2024,5836.2
RIAU,2020,6394.1
RIAU,2021,6466.8
RIAU,2022,6555.8
RIAU,2023,6642.9
RIAU,2024,6728.1
JAMBI,2020,3548.2
JAMBI,2021,3586.4
JAMBI,2022,3633.2
JAMBI,2023,3679.2
JAMBI,2024,3724.3
SUMATERA SELATAN,2020,8467.4
SUMATERA SELATAN,2021,8548.6
SUMATERA SELATAN,2022,8647.3
SUMATERA SELATAN,2023,8743.5
SUMATERA SELATAN,2024,8837.3
BENGKULU,2020,2010.7
BENGKULU,2021,2032.4
BENGKULU,2022,2059.4
BENGKULU,2023,2086.0
BENGKULU,2024,2112.2
LAMPUNG,2020,9007.8
LAMPUNG,2021,4438.6
LAMPUNG,2022,4496.6
LAMPUNG,2023,9314.0
LAMPUNG,2024,9419.6
KEPULAUAN BANGKA BELITUNG,2020,1455.7
KEPULAUAN BANGKA BELITUNG,2021,1471.8
KEPULAUAN BANGKA BELITUNG,2022,1492.0
KEPULAUAN BANGKA BELITUNG,2023,1511.9
KEPULAUAN BANGKA BELITUNG,2024,1531.5
KEPULAUAN RIAU,2020,2064.6
KEPULAUAN RIAU,2021,2089.9
KEPULAUAN RIAU,2022,2121.5
KEPULAUAN RIAU,2023,2152.6
KEPULAUAN RIAU,2024,2183.3
DKI JAKARTA,2020,10562.1
DKI JAKARTA,2021,10605.4
DKI JAKARTA,2022,10640.0
DKI JAKARTA,2023,10672.1
DKI JAKARTA,2024,10684.9
JAWA BARAT,2020,48274.2
JAWA BARAT,2021,48738.8
JAWA BARAT,2022,49306.8
JAWA BARAT,2023,49860.3
JAWA BARAT,2024,50345.2
JAWA TENGAH,2020,36516.0
JAWA TENGAH,2021,36811.1
JAWA TENGAH,2022,37180.4
JAWA TENGAH,2023,37541.0
JAWA TENGAH,2024,37892.3
DI YOGYAKARTA,2020,3668.7
