No,Cakupan,Satuan,Laki-Laki,Perempuan,Total
1,ACEH,Tahun,"11,190","11,130","11,160"
2,SUMATERA UTARA,Tahun,"10,800","10,820","10,810"
3,SUMATERA BARAT,Tahun,"10,340","10,700","10,520"
4,RIAU,Tahun,"10,970","10,840","10,910"
5,JAMBI,Tahun,"10,600","10,400","10,500"
6,SUMATERA SELATAN,Tahun,"10,620","10,440","10,530"
7,BENGKULU,Tahun,"11,190","11,240","11,210"
8,LAMPUNG,Tahun,"10,120","9,850","9,980"
9,KEPULAUAN BANGKA BELITUNG,Tahun,"9,860","9,630","9,750"
10,KEPULAUAN RIAU,Tahun,"11,040","10,920","10,980"
11,DKI JAKARTA,Tahun,"11,740","11,250","11,490"
12,JAWA BARAT,Tahun,"9,860","9,400","9,630"
13,JAWA TENGAH,Tahun,"9,550","9,000","9,280"
14,DI YOGYAKARTA,Tahun,"11,090","10,770","10,930"
15,JAWA TIMUR,Tahun,"9,930","9,350","9,640"
16,BANTEN,Tahun,"10,390","9,820","10,110"
17,BALI,Tahun,"10,940","10,180","10,560"
18,NUSA TENGGARA BARAT,Tahun,"9,530","8,720","9,120"
19,NUSA TENGGARA TIMUR,Tahun,"10,520","10,440","10,480"
20,KALIMANTAN BARAT,Tahun,"9,930","9,640","9,780"
21,KALIMANTAN TENGAH,Tahun,"10,490","10,210","10,350"
22,KALIMANTAN SELATAN,Tahun,"10,270","9,940","10,110"
23,KALIMANTAN TIMUR,Tahun,"11,050","10,720","10,890"
24,KALIMANTAN UTARA,Tahun,"10,030","10,180","10,100"
25,SULAWESI UTARA,Tahun,"10,570","10,870","10,720"
26,SULAWESI TENGAH,Tahun,"10,740","10,780","10,760"
27,SULAWESI SELATAN,Tahun,"10,550","10,450","10,500"
28,SULAWESI TENGGARA,Tahun,"11,040","10,980","11,010"
29,GORONTALO,Tahun,"9,450","10,450","9,960"
30,SULAWESI BARAT,Tahun,"10,260","10,440","10,350"
31,MALUKU,Tahun,"11,560","11,770","11,670"
32,MALUKU UTARA,Tahun,"11,430","11,240","11,330"
33,PAPUA BARAT,Tahun,"11,550","11,410","11,490"
34,PAPUA,Tahun,"11,970","11,700","11,840"
35,PAPUA PEGUNUNGAN,Tahun,"7,370","6,510","6,970"
36,PAPUA SELATAN,Tahun,"11,590","10,910","11,260"
37,PAPUA TENGAH,Tahun,"11,820","11,730","11,780"
38,PAPUA BARAT DAYA,Tahun,"11,640","11,650","11,650"
39,INDONESIA,,"10,270","9,880","10,080"
