38 Provinsi,
,Persentase Penduduk Berumur 15 Tahun ke Atas yang Merokok Tembakau selama Sebulan Terakhir Menurut Provinsi (Persen)
,2024
ACEH,28.61
SUMATERA UTARA,26.69
SUMATERA BARAT,31.45
RIAU,28.02
JAMBI,29.76
SUMATERA SELATAN,31.01
BENGKULU,32.96
LAMPUNG,33.84
KEP. BANGKA BELITUNG,27.97
KEP. RIAU,25.46
DKI JAKARTA,22.56
JAWA BARAT,32.98
JAWA TENGAH,29.13
DI YOGYAKARTA,25.18
JAWA TIMUR,28.72
BANTEN,31.31
BALI,19.22
NUSA TENGGARA BARAT,32.4
NUSA TENGGARA TIMUR,27.51
KALIMANTAN BARAT,28.06
KALIMANTAN TENGAH,28.02
KALIMANTAN SELATAN,23.07
KALIMANTAN TIMUR,23.99
KALIMANTAN UTARA,25.93
SULAWESI UTARA,26.93
SULAWESI TENGAH,28.98
SULAWESI SELATAN,24.66
SULAWESI TENGGARA,24.8
GORONTALO,31.61
SULAWESI BARAT,26.99
MALUKU,29.43
MALUKU UTARA,29.72
PAPUA BARAT,25.9
PAPUA BARAT DAYA,25
PAPUA,22.11
PAPUA SELATAN,32.28
PAPUA TENGAH,19.48
PAPUA PEGUNUNGAN,19.54
INDONESIA,28.99
