Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
,2024,2024,2024,2024,2024,2024
Simeulue,0,10.138,3.929,1.498,0.001,1.679
Aceh Singkil,0,13.897,3.944,1.13,0.011,0.031
Aceh Selatan,0,13.161,6.398,0.375,0.014,0.01
Aceh Tenggara,0,14.658,6.648,1.007,0.012,0.003
Aceh Timur,0,15.686,3.026,1.215,0.001,-
Aceh Tengah,0,14.471,8.128,0.415,0.025,-
Aceh Barat,0,12.054,3.794,3.121,0.011,0.058
Aceh Besar,0,7.59,4.062,0.844,0.022,0.042
Pidie,0,6.67,2.303,1.203,0.004,0.001
Bireuen,0,7.521,3.291,0.108,0.002,0.012
Aceh Utara,0,6.705,4.298,0.092,0.001,-
Aceh Barat Daya,0,15.951,7.835,0.483,0.01,0.006
Gayo Lues,0,18.301,8.583,0.791,0.025,0.139
Aceh Tamiang,0,10.223,2.369,1.282,-,-
Nagan Raya,0,9.755,5.46,3.558,0.022,0.346
Aceh Jaya,0,12.3,9.682,1.853,0.045,0.124
Bener Meriah,0,19.741,6.362,0.23,0.006,-
Pidie Jaya,0,10.376,3.162,0.155,0.002,-
Kota Banda Aceh,0,11.328,1.266,0.022,0.003,0.07
Kota Sabang,0,12.071,2.518,0.209,0.004,0.008
Kota Langsa,0,10.386,0.938,0.206,0.003,-
Kota Lhokseumawe,0,7.987,1.845,0.516,-,-
Kota Subulussalam,0,12.856,5.294,1.653,0.015,0.038
Nias,0,6.486,2.388,0.822,0.009,1.206
Mandailing Natal,0,14.004,2.902,4.827,0.023,-
Tapanuli Selatan,0,14.812,7.764,1.219,0.004,0.006
Tapanuli Tengah,0,12.236,4.468,1.045,0.005,0.012
Tapanuli Utara,0,15.489,5.09,2.476,0.006,0.001
Toba Samosir,0,12.501,4.681,1.393,0.031,0.001
Labuhan Batu,0,15.822,4.419,0.881,0.028,0.002
Asahan,0,15.612,1.694,0.424,0.025,0.02
Simalungun,0,12.524,4.178,0.839,0.04,0.061
Dairi,0,15.531,5.56,0.298,0.092,0.074
Karo,0,18.158,2.969,1.936,0.185,0.275
Deli Serdang,0,11.938,1.292,0.649,0.007,0.037
Langkat,0,15.905,2.991,0.548,0.002,0.008
Nias Selatan,0,2.121,2.396,1.629,0.013,0.062
Humbang Hasundutan,0,12.932,5.174,3.273,0.016,0.015
Pakpak Bharat,0,13.278,6.373,0.6,0.027,0.02
Samosir,0,15.769,5.638,0.663,0.014,0.343
Serdang Bedagai,0,12.95,2.034,0.232,0.003,0
Batu Bara,0,15.564,1.75,0.479,0.009,0.002
Padang Lawas Utara,0,16.418,4.816,6.378,0.044,0.056
Padang Lawas,0,24.182,3.301,2.901,0.01,0
Labuhan Batu Selatan,0,17.219,5.185,0.662,0.01,0.019
Labuhan Batu Utara,0,12.841,7.776,0.508,0.011,0
Nias Utara,0,7.381,1.689,0.319,0.021,0.67
Nias Barat,0,4.997,3.847,0.032,0,0.293
Kota Sibolga,0,12.248,3.982,1.033,0.002,0.009
Kota Tanjung Balai,0,17.038,1.146,-,0.002,0.013
Kota Pematang Siantar,0,10.744,1.516,0.926,-,0.052
Kota Tebing Tinggi,0,10.103,1.417,0.705,0,0.002
Kota Medan,0,7.456,1.127,0.862,0,0.003
Kota Binjai,0,9.689,1.466,-,0,-
Kota Padangsidimpuan,0,13.508,1.704,0.647,0.006,0.002
Kota Gunungsitoli,0,8.732,1.874,0.323,0.003,0.071
Kepulauan Mentawai,0,22.469,0.092,3.261,0.01,-
Pesisir Selatan,0,24.525,0.753,1.76,0.003,0.023
Solok,0,23.991,0.781,0.235,0.004,0.003
Sijunjung,0,19.806,4.063,2.144,0.015,0
Tanah Datar,0,18.773,2.689,1.077,0.008,0.009
Padang Pariaman,0,19.554,0.515,0.849,0.001,0.004
Agam,0,17.113,2.597,1.182,0.008,0.01
Lima Puluh Kota,0,26.639,1.613,2.864,0.028,0.007
Pasaman,0,20.988,1.494,2.72,0.026,0.017
Solok Selatan,0,32.255,0.43,0.421,0.002,-
Dharmasraya,0,26.462,0.599,2.029,0.002,0.023
Pasaman Barat,0,26.794,1.881,1.893,0.012,0.017
Kota Padang,0,15.285,0.656,0.882,0.001,0.063
Kota Solok,0,17.039,1.288,1.709,0,0.008
Kota Sawah Lunto,0,14.938,2.066,4.396,0.013,0.01
Kota Padang Panjang,0,12.38,1.997,0.207,0.001,0.031
Kota Bukittinggi,0,11.171,1.073,2.329,-,0.065
Kota Payakumbuh,0,19.519,1.245,0.619,0.003,0.001
Kota Pariaman,0,11.567,1.693,1.251,-,0.002
