Tabel 11.30 Prevalensi Merokok pada Penduduk Umur >=10 Tahun dalam 1 bulan terakhir menurut Karakteristik SKI 2023
Karakteristik,Perokok setiap hari (%),Perokok setiap hari 95% CI,Perokok kadang-kadang (%),Perokok kadang-kadang 95% CI,Mantan perokok (%),Mantan perokok 95% CI,Bukan perokok (%),Bukan perokok 95% CI,N Tertimbang
Kelompok Umur,,,,,,,,
10-14,0.5,"0,4-0,6",0.7,"0,6-0,8",0.5,"0,4-0,7",98.3,"98,1-98,5",66880
15-19,11.1,"10,6-11,6",5.6,"5,2-5,9",1.4,"1,1-1,6",82.0,"81,4-82,6",67140
20-24,24.5,"23,8-25,2",5.9,"5,5-6,3",1.3,"1,1-1,5",68.4,"67,6-69,1",67751
25-29,28.3,"27,6-29,0",5.0,"4,6-5,4",1.7,"1,4-1,9",65.1,"64,3-65,8",68165
30-34,29.2,"28,6-29,9",4.7,"4,4-5,0",2.0,"1,8-2,3",64.1,"63,4-64,7",67029
35-39,29.7,"29,1-30,3",4.7,"4,4-5,0",2.1,"1,9-2,3",63.4,"62,8-64,1",65016
40-44,29.8,"29,2-30,3",4.9,"4,6-5,2",2.5,"2,3-2,7",62.8,"62,2-63,4",61875
45-49,28.2,"27,7-28,8",4.8,"4,5-5,1",2.9,"2,7-3,1",64.1,"63,5-64,7",57971
50-54,26.3,"25,7-26,9",4.9,"4,6-5,2",3.6,"3,3-3,9",65.2,"64,6-65,8",51344
55-59,24.5,"23,9-25,1",4.8,"4,5-5,1",4.5,"4,2-4,9",66.1,"65,5-66,8",43672
60-64,22.6,"21,9-23,3",4.6,"4,3-5,0",6.2,"5,8-6,6",66.6,"65,8-67,4",35130
65+,17.3,"16,8-17,8",4.5,"4,2-4,8",7.8,"7,4-8,2",70.4,"69,9-71,0",59314
Kelompok Umur (Khusus),,,,,,,,
15+,24.7,"24,5-24,9",5.0,"4,9-5,1",3.0,"2,9-3,1",67.3,"67,0-67,5",644406
10+,22.5,"22,3-22,6",4.6,"4,5-4,7",2.8,"2,7-2,9",70.2,"70,0-70,4",711286
Jenis Kelamin,,,,,,,,
Laki-laki,43.8,"43,5-44,2",8.6,"8,5-8,8",5.0,"4,8-5,1",42.5,"42,2-42,9",358482
Perempuan,0.7,"0,7-0,8",0.4,"0,4-0,5",0.6,"0,5-0,6",98.3,"98,2-98,4",352804
Pendidikan,,,,,,,,
Tidak sekolah,16.0,"15,4-16,6",3.3,"3,0-3,7",2.4,"2,1-2,7",78.3,"77,6-79,0",35612
Tidak tamat SD,13.0,"12,6-13,4",2.6,"2,4-2,8",1.9,"1,8-2,1",82.5,"82,0-83,0",75359
Tamat SD,22.8,"22,4-23,1",4.2,"4,0-4,4",2.8,"2,6-2,9",70.3,"69,9-70,6",190716
Tamat SLTP,24.6,"24,2-25,0",4.9,"4,7-5,1",2.4,"2,2-2,6",68.1,"67,6-68,5",138925
Tamat SLTA,27.2,"26,8-27,6",5.7,"5,5-5,9",3.1,"2,9-3,2",64.1,"63,7-64,5",208914
Tamat D1/D2/D3/PT,16.0,"15,5-16,5",4.3,"4,1-4,6",4.1,"3,8-4,4",75.6,"75,1-76,1",61760
Pekerjaan,,,,,,,,
Tidak Bekerja,6.1,"5,9-6,4",2.0,"1,9-2,1",1.6,"1,5-1,7",90.3,"90,0-90,5",205498
Sekolah,5.7,"5,4-6,0",3.2,"3,0-3,4",1.1,"1,0-1,3",90.0,"89,6-90,4",113575
PNS/TNI/Polri/BUMN/BUMD,20.6,"19,8-21,5",4.9,"4,5-5,4",4.8,"4,3-5,2",69.7,"68,7-70,6",20068
Pegawai swasta,32.5,"31,8-33,2",6.7,"6,3-7,1",4.1,"3,8-4,3",56.8,"55,0-57,5",73556
Wiraswasta,37.4,"36,8-38,0",6.2,"6,0-6,5",4.1,"3,8-4,3",52.3,"51,7-52,9",98412
Petani/Buruh tani,37.7,"37,2-38,2",6.6,"6,3-6,8",3.7,"3,5-3,9",52.0,"51,5-52,5",104020
Nelayan,57.6,"55,5-59,7",8.3,"7,0-9,7",3.7,"3,0-4,5",30.5,"28,6-32,4",5166
Buruh/sopir/pembantu ruta,51.8,"50,9-52,7",7.7,"7,2-8,2",4.1,"3,8-4,5",36.3,"35,5-37,1",52168
Lainnya,16.9,"16,2-17,6",3.6,"3,3-4,0",3.1,"2,8-3,4",76.4,"75,6-77,2",38823
Tempat tinggal,,,,,,,,
Perkotaan,21.6,"21,3-21,8",4.6,"4,4-4,7",3.3,"3,2-3,5",70.5,"70,3-70,8",416383
Perdesaan,23.7,"23,4-24,0",4.5,"4,4-4,7",2.0,"1,9-2,1",69.7,"69,4-70,0",294903
Status Ekonomi,,,,,,,,
Terbawah,25.0,"24,6-25,5",5.2,"5,0-5,5",2.1,"1,9-2,2",67.7,"67,2-68,2",103577
Menengah Bawah,25.3,"24,9-25,7",4.8,"4,6-5,1",2.4,"2,2-2,6",67.5,"67,1-67,9",129735
Menengah,24.2,"23,8-24,6",4.5,"4,3-4,7",2.6,"2,4-2,8",68.7,"68,3-69,1",150383
Menengah Atas,22.0,"21,7-22,4",4.5,"4,3-4,7",2.9,"2,8-3,1",70.5,"70,2-70,9",165087
Teratas,17.3,"17,0-17,7",4.1,"3,9-4,2",3.6,"3,5-3,8",75.0,"74,6-75,4",162452
