Tabel 11.6 Proporsi Sumber Informasi tentang Stunting pada Penduduk Umur >=10 Tahun Menurut Karakteristik SKI 2023
Karakteristik,Tenaga Kesehatan/kader (%),Tenaga Kesehatan/kader 95% CI,Keluarga/orang tua/teman/family lain (%),Keluarga/orang tua/teman/family lain 95% CI,Media massa (%),Media massa 95% CI,Lainnya (%),Lainnya 95% CI,N Tertimbang
Kelompok Umur (tahun),,,,,,,,
10-14,25.3,"22,5-28,3",13.9,"12,2-15,9",45.9,"42,9-49,0",14.9,"12,7-17,3",2928
15-19,22.1,"20,8-23,5",9.2,"8,3-10,3",59.0,"57,3-60,7",9.7,"8,6-10,8",10366
20-24,35.9,"34,5-37,3",7.6,"6,8-8,4",51.6,"50,1-53,0",5.0,"4,4-5,7",17217
25-29,46.4,"45,3-47,6",7.4,"6,7-8,1",43.8,"42,7-45,0",2.3,"2,0-2,7",23539
30-34,48.3,"47,2-49,4",6.1,"5,6-6,6",43.0,"41,8-44,1",2.7,"2,3-3,0",24376
35-39,47.1,"45,9-48,3",6.9,"6,0-8,0",43.3,"42,1-44,5",2.7,"2,3-3,1",21512
40-44,46.2,"45,0-47,4",8.1,"7,5-8,8",42.9,"41,6-44,1",2.8,"2,5-3,2",17288
45-49,44.4,"43,0-45,8",8.5,"7,5-9,7",44.1,"42,7-45,6",2.9,"2,5-3,5",13426
50-54,43.6,"42,1-45,1",9.8,"8,9-10,8",44.1,"42,5-45,6",2.5,"2,1-3,0",9613
55-59,42.8,"41,0-44,7",11.5,"10,3-12,8",43.4,"41,4-45,2",2.3,"1,8-3,0",6393
60-64,37.5,"35,0-40,0",10.4,"9,0-12,0",49.4,"46,7-52,0",2.7,"1,9-3,7",3421
65+,34.4,"31,8-37,2",12.4,"10,8-14,3",50.6,"47,7-53,5",2.6,"1,7-3,7",2990
Jenis Kelamin,,,,,,,,
Laki-laki,30.4,"29,6-31,1",9.9,"9,3-10,5",56.5,"55,6-57,4",3.3,"3,0-3,6",48449
Perempuan,48.3,"47,7-48,9",7.2,"6,9-7,5",40.7,"40,2-41,3",3.8,"3,6-4,0",104619
Pendidikan,,,,,,,,
Tidak sekolah,50.5,"46,9-54,0",11.0,"9,2-13,1",35.3,"31,6-39,1",3.3,"2,4-4,5",1853
Tidak tamat SD,50.6,"48,1-53,1",13.4,"11,9-15",31.4,"29,1-33,8",4.7,"3,8-5,8",4746
Tamat SD,52.5,"51,2-53,8",11.1,"10,3-12",32.3,"31,3-33,7",3.9,"3,5-4,4",21164
Tamat SLTP,48.3,"47,3-49,3",8.6,"8,1-9,2",39.2,"38,2-40,3",3.9,"3,4-4,3",29766
Tamat SLTA,40.2,"39,4-40,9",7.7,"7,2-8,2",49.2,"48,4-49,9",3.0,"2,7-3,2",60428
Tamat D1/D2/D3/PT,34.6,"33,7-35,4",5.5,"5,1-5,9",55.8,"54,9-56,7",4.2,"3,8-4,5",35111
Pekerjaan,,,,,,,,
Tidak Bekerja,51.1,"50,3-51,9",7.1,"6,7-7,5",39.1,"38,3-39,9",2.7,"2,4-3,0",53600
Sekolah,21.4,"20,3-22,6",9.5,"8,6-10,4",58.2,"56,8-59,7",10.9,"9,9-11,9",14392
PNS/TNI/Polri/BUMN/BUMD,39.0,"37,6-40,3",5.8,"5,3-6,4",50.8,"49,4-52,2",4.4,"3,8-5,0",11590
Pegawai swasta,31.0,"29,8-32,2",6.4,"5,7-7,1",59.6,"58,3-60,9",3.1,"2,7-3,5",22187
Wiraswasta,40.0,"38,9-41,2",8.7,"8,0-9,4",48.8,"47,6-50,0",2.5,"2,1-3,0",20862
Petani/Buruh tani,55.5,"53,7-57,3",14.6,"12,9-16,4",28.1,"26,7-29,5",1.9,"1,5-2,3",11291
Nelayan,43.8,"37,6-50,2",14.9,"10,5-20,7",39.4,"32,4-46,9",1.8,"0,9-3,7",437
Buruh/sopir/pembantu ruta,38.7,"36,3-41,2",10.4,"9,0-12,0",48.2,"45,6-50,8",2.7,"2,1-3,5",6320
Lainnya,49.3,"47,9-50,8",7.3,"6,6-8,0",40.1,"38,7-41,6",3.3,"2,9-3,8",12390
Tempat tinggal,,,,,,,,
Perkotaan,35.8,"35,2-36,5",7.1,"6,8-7,4",53.3,"52,7-54,0",3.8,"3,5-4,0",94875
Perdesaan,53.7,"52,7-54,6",9.7,"9,1-10,3",33.3,"32,4-34,2",3.3,"3,1-3,7",58193
Status Ekonomi,,,,,,,,
Terbawah,56.8,"55,2-58,4",11.6,"10,3-13,2",28.2,"26,8-29,6",3.4,"2,9-3,9",13814
Menengah Bawah,52.9,"51,7-54,1",9.3,"8,6-9,9",34.5,"33,4-35,7",3.4,"3,0-3,8",21278
Menengah,48.1,"47,0-49,2",8.6,"8,0-9,2",40.0,"38,9-41,0",3.3,"3,0-3,7",27700
Menengah Atas,42.8,"41,8-43,8",7.9,"7,4-8,5",46.1,"45,1-47,1",3.2,"2,8-3,6",36610
Teratas,31.9,"31,2-32,7",6.5,"6,1-6,9",57.4,"56,5-58,3",4.2,"3,9-4,5",53651
