Tabel 14.106 Prevalensi Status Gizi (PB/U) pada Anak Umur 0-23 Bulan (Baduta) menurut Provinsi SKI 2023
Provinsi,Severely Stunting (%),Severely Stunting 95% CI,Stunting (%),Stunting 95% CI,Normal (%),Normal 95% CI,N tertimbang
Aceh,7.6,"6,6-8,6",17.2,"15,9-18,5",75.3,"73,7-76,8",2220
Sumatera Utara,4.8,"4,2-5,5",10.0,"8,9-11,2",85.2,"83,8-86,5",6776
Sumatera Barat,6.5,"5,3-8,0",13.2,"11,9-14,6",80.3,"78,3-82,1",2332
Riau,3.3,"2,4-4,6",9.1,"7,9-10,4",87.6,"85,8-89,2",2824
Jambi,4.7,"3,6-6,2",8.8,"7,3-10,6",86.5,"84,1-88,6",1344
Sumatera Selatan,6.1,"5,0-7,3",11.3,"10,1-12,6",82.6,"80,9-84,2",3470
Bengkulu,6.1,"5,0-7,5",11.9,"10,3-13,7",82.0,"79,9-84,0",874
Lampung,3.5,"2,8-4,5",9.8,"8,5-11,4",86.6,"84,9-88,2",3723
Bangka Belitung,6.7,"5,3-8,4",14.1,"12,2-16,3",79.1,"76,5-81,6",584
Kepulauan Riau,3.1,"2,0-5,0",13.8,"11,2-16,8",83.1,"80,1-85,7",937
DKI Jakarta,5.7,"4,3-7,5",12.6,"10,5-14,9",81.8,"78,9-84,4",3610
Jawa Barat,4.7,"4,1-5,4",13.0,"12,0-14,0",82.3,"81,1-83,5",19517
Jawa Tengah,4.1,"3,6-4,6",12.7,"11,8-13,6",83.3,"82,3-84,3",13777
DI Yogyakarta,5.0,"3,7-6,7",13.2,"11,3-15,4",81.8,"79,3-84,0",1124
Jawa Timur,3.8,"3,3-4,3",11.3,"10,5-12,2",84.9,"83,9-85,8",14071
Banten,7.5,"6,0-9,3",13.6,"11,7-15,7",79.0,"76,1-81,5",4622
Bali,2.0,"1,4-2,8",5.0,"3,8-6,5",93.1,"91,3-94,5",1596
Nusa Tenggara Barat,4.8,"3,6-6,4",15.1,"13,2-17,3",80.1,"77,7-82,3",2530
Nusa Tenggara Timur,10.0,"9,1-11,0",21.0,"19,7-22,4",69.0,"67,4-70,4",2842
Kalimantan Barat,7.3,"6,1-8,6",16.2,"14,5-18,0",76.6,"74,5-78,6",2156
Kalimantan Tengah,7.9,"6,3-9,9",13.5,"11,5-15,7",78.7,"76,1-81,0",1185
Kalimantan Selatan,7.1,"5,9-8,5",13.7,"12,3-15,2",79.2,"77,4-81,0",1785
Kalimantan Timur,6.0,"4,8-7,6",14.1,"12,3-16,0",79.9,"77,5-82,1",1513
Kalimantan Utara,3.9,"2,6-5,9",10.8,"8,2-13,9",85.3,"81,8-88,3",308
Sulawesi Utara,7.5,"6,1-9,3",14.6,"12,6-17,0",77.8,"74,9-80,5",997
Sulawesi Tengah,7.3,"6,2-8,5",15.4,"13,8-17,2",77.3,"75,3-79,2",1408
Sulawesi Selatan,6.3,"5,5-7,2",17.2,"15,7-18,8",76.5,"74,7-78,2",3981
Sulawesi Tenggara,9.1,"7,9-10,4",15.7,"14,2-17,3",75.2,"73,2-77,1",1305
Gorontalo,9.4,"7,3-12,0",15.8,"13,3-18,5",74.9,"71,4-78,0",542
Sulawesi Barat,5.6,"4,1-7,7",16.0,"13,9-18,4",78.3,"75,6-80,8",745
Maluku,8.6,"7,1-10,3",14.2,"12,3-16,3",77.2,"74,8-79,5",856
Maluku Utara,7.7,"6,3-9,5",13.7,"11,7-16,0",78.6,"75,8-81,1",592
Papua Barat,6.4,"4,5-9,1",16.4,"13,1-20,4",77.2,"72,6-81,2",288
Papua Barat Daya,9.1,"7,0-11,6",16.8,"13,5-20,7",74.2,"70,2-77,8",319
Papua,11.3,"8,5-14,8",15.5,"12,5-18,9",73.2,"68,9-77,2",541
Papua Selatan,8.5,"5,8-12,2",13.3,"8,8-19,5",78.3,"72,1-83,4",339
Papua Tengah,18.4,"13,2-25,1",18.2,"12,7-25,4",63.4,"54,9-71,0",623
Papua Pegunungan,20.5,"15,5-26,6",14.7,"10,1-20,9",64.8,"56,8-72,0",416
INDONESIA,5.4,"5,2-5,6",12.9,"12,6-13,2",81.7,"81,3-82,1",108673
