Tabel 14.107 Proporsi Status Gizi (PB/U) pada Anak Umur 0-23 Bulan (Baduta) menurut Karakteristik SKI 2023
Karakteristik,Severely Stunting (%),Severely Stunting 95% CI,Stunting (%),Stunting 95% CI,Normal (%),Normal 95% CI,N tertimbang
Kelompok umur (bulan),,,,,,,,
0-5,4.7,"4,3-5,1",9.1,"8,5-9,6",86.3,"85,6-86,9",24126
6-11,3.3,"3,0-3,6",9.8,"9,3-10,4",86.9,"86,3-87,5",26470
12-23,6.7,"6,4-7,0",15.9,"15,5-16,4",77.3,"76,8-77,9",58077
Umur bayi (bulan),,,,,,,,
0-11,3.9,"3,7-4,2",9.5,"9,1-9,8",86.6,"86,1-87,1",50596
Jenis Kelamin,,,,,,,,
Laki-laki,6.4,"6,1-6,7",14.3,"13,9-14,8",79.3,"78,7-79,8",55542
Perempuan,4.4,"4,1-4,7",11.4,"11,0-11,9",84.2,"83,7-84,7",53131
Pendidikan,,,,,,,,
Tidak/belum pernah sekolah,8.7,"7,2-10,6",16.3,"14,5-18,3",74.9,"72,4-77,3",2564
Tidak tamat SD/MI,7.9,"6,6-9,5",13.7,"12,4-15,1",78.4,"76,5-80,1",4511
Tamat SD/MI,6.4,"5,9-6,9",14.7,"14,0-15,5",78.9,"78,0-79,8",22315
Tamat SLTP/MTS,5.6,"5,2-6,1",12.2,"12,5-14,0",81.1,"80,3-82,0",22265
Tamat SLTA/MA,4.7,"4,4-5,0",12.3,"11,8-12,8",83.1,"82,5-83,6",43657
Tamat D1/D2/D3/PT,4.4,"4,0-5,0",10.6,"9,9-11,4",85.0,"84,0-85,8",13360
Pekerjaan,,,,,,,,
Tidak bekerja,7.2,"5,8-8,9",14.1,"12,3-16,1",78.7,"76,1-81,1",3014
Sekolah,6.9,"2,7-16,7",20.5,"12,7-31,4",72.6,"61,4-81,6",245
PNS/TNI/Polri/BUMN/BUMD,4.8,"4,0-5,8",9.2,"8,2-10,3",86.0,"84,5-87,3",4905
Pegawai Swasta,4.4,"4,0-4,8",11.1,"10,4-11,8",84.5,"83,7-85,3",23511
Wiraswasta,4.7,"4,4-5,1",12.0,"11,5-12,5",83.3,"82,7-83,9",31885
Petani/buruh tani,6.7,"6,3-7,1",14.8,"14,3-15,4",78.5,"77,8-79,2",22654
Nelayan,7.6,"6,2-9,3",15.4,"13,7-17,2",77.0,"74,7-79,2",2433
Buruh/sopir/pembantu ruta,6.0,"5,4-6,8",15.2,"14,2-16,3",78.8,"77,6-79,9",16032
Lainnya,5.6,"4,6-6,7",12.8,"11,5-14,3",81.6,"79,8-83,2",3994
Tempat Tinggal,,,,,,,,
Perkotaan,4.9,"4,7-5,2",12.3,"11,8-12,7",82.8,"82,3-83,3",62996
Pedesaan,6.1,"5,8-6,4",13.9,"13,4-14,3",80.1,"79,5-80,6",45677
