Tabel 14.112 Prevalensi Status Gizi (TB/U) Pada Anak Umur 0-59 Bulan (Balita) Menurut Provinsi, SKI 2023
Provinsi,Severely Stunting (%),Severely Stunting 95% CI,Stunting (%),Stunting 95% CI,Normal (%),Normal 95% CI,N tertimbang
Aceh,9.1,"8,5-9,9",20.3,"19,4-21,1",70.6,"69,5-71,7",6841
Sumatera Utara,5.7,"5,1-6,4",13.2,"12,4-14,1",81.1,"79,8-82,3",19298
Sumatera Barat,6.6,"5,9-7,4",17.1,"16,1-18,1",76.4,"75,1-77,5",6769
Riau,3.3,"2,8-3,9",10.3,"9,4-11,1",86.4,"85,3-87,4",8116
Jambi,4.0,"3,3-4,7",9.5,"8,6-10,6",86.5,"85,2-87,7",4355
Sumatera Selatan,6.0,"5,3-6,7",14.3,"13,5-15,3",79.7,"78,6-80,8",10120
Bengkulu,5.8,"5,1-6,6",14.4,"13,3-15,7",79.8,"78,3-81,2",2467
Lampung,3.6,"3,2-4,2",11.3,"10,4-12,2",85.1,"84,1-86,1",10712
Bangka Belitung,5.6,"4,8-6,5",15.1,"13,8-16,5",79.4,"77,7-80,9",1733
Kepulauan Riau,3.7,"2,9-4,8",13.1,"11,5-14,9",83.2,"81,1-85,1",2613
DKI Jakarta,4.5,"3,7-5,4",13.1,"11,9-14,4",82.4,"80,8-83,9",10252
Jawa Barat,5.1,"4,6-5,5",16.6,"15,9-17,4",78.3,"77,4-79,2",54183
Jawa Tengah,4.7,"4,3-5,1",16.0,"15,4-16,7",79.3,"78,5-80,0",37972
DI Yogyakarta,3.6,"3,0-4,4",14.4,"13,1-15,7",82.0,"80,6-83,3",3296
Jawa Timur,3.8,"3,5-4,2",13.8,"13,3-14,4",82.3,"81,7-83,0",39162
Banten,7.0,"6,0-8,3",16.9,"15,6-18,3",76.0,"74,3-77,7",13618
Bali,1.7,"1,3-2,1",5.5,"4,8-6,4",92.8,"91,8-93,7",4270
Nusa Tenggara Barat,5.2,"4,5-6,1",19.3,"17,6-21,1",75.4,"73,5-77,3",6921
Nusa Tenggara Timur,11.7,"11,0-12,4",26.2,"25,3-27,2",62.1,"61,0-63,2",7762
Kalimantan Barat,7.2,"6,4-8,1",17.3,"16,2-18,5",75.5,"74,1-76,8",6703
Kalimantan Tengah,7.6,"6,7-8,7",15.9,"14,5-17,4",76.5,"74,6-78,2",3270
Kalimantan Selatan,7.8,"6,9-8,8",16.9,"15,8-18,1",75.3,"73,9-76,7",4923
Kalimantan Timur,5.7,"4,9-6,7",17.1,"15,9-18,5",77.1,"75,4-78,7",4420
Kalimantan Utara,4.6,"3,8-5,6",12.8,"11,0-14,8",82.6,"80,4-84,7",867
Sulawesi Utara,6.5,"5,6-7,6",14.8,"13,6-16,1",78.7,"76,9-80,4",2714
Sulawesi Tengah,7.6,"6,8-8,4",19.6,"18,5-20,9",72.8,"71,3-74,3",3700
Sulawesi Selatan,6.7,"6,1-7,2",20.7,"19,8-21,7",72.6,"71,5-73,7",10595
Sulawesi Tenggara,9.4,"8,6-10,2",20.6,"19,6-21,7",70.0,"68,7-71,2",3607
Gorontalo,8.4,"7,3-9,7",18.4,"16,8-20,2",73.1,"71,2-75,0",1423
Sulawesi Barat,7.6,"6,3-9,0",22.8,"21,0-24,6",69.7,"67,4-71,9",1960
Maluku,10.1,"9,0-11,2",18.3,"17,0-19,7",71.6,"69,9-73,3",2418
Maluku Utara,7.6,"6,8-8,6",16.0,"14,6-17,6",76.3,"74,4-78,1",1689
Papua Barat,8.0,"6,3-10,0",16.8,"14,3-19,6",75.2,"71,4-78,7",751
Papua Barat Daya,10.7,"9,1-12,5",20.3,"18,1-22,7",69.0,"66,5-71,5",816
Papua,10.4,"8,7-12,3",18.2,"16,2-20,4",71.4,"68,6-74,1",1536
Papua Selatan,9.3,"7,5-11,5",15.8,"13,5-18,2",75.0,"71,8-77,9",1019
Papua Tengah,20.7,"16,6-25,5",18.6,"15,6-22,1",60.6,"54,6-66,4",1814
Papua Pegunungan,20.2,"16,6-24,4",17.1,"13,8-20,9",62.7,"57,4-67,7",1594
INDONESIA,5.7,"5,6-5,9",15.8,"15,6-16,0",78.5,"78,2-78,7",306281
