Tabel 14.113 Proporsi Status Gizi (TB/U) Pada Anak Umur 0-59 Bulan (Balita) Menurut Karakteristik, SKI 2023
Karakteristik,Severely Stunting (%),Severely Stunting 95% CI,Stunting (%),Stunting 95% CI,Normal (%),Normal 95% CI,N tertimbang
Kelompok umur (bulan),,,,,,,,
0 - 5,4.7,"4,3-5,1",9.1,"8,5-9,6",86.3,"85,6-86,9",24148
6 - 11,3.3,"3,0-3,6",9.8,"9,3-10,4",86.9,"86,3-87,5",26495
12 - 23,6.7,"6,4-7,0",15.9,"15,5-16,4",77.3,"76,8-77,9",58130
24 - 35,6.9,"6,6-7,3",18.8,"18,3-19,3",74.2,"73,7-74,8",61910
36 - 47,6.0,"5,7-6,3",17.6,"17,2-18,1",76.4,"75,9-76,9",67714
48 - 59,4.8,"4,5-5,1",15.9,"15,4-16,3",79.3,"78,8-79,8",67885
Umur bayi (bulan),,,,,,,,
0 – 11,3.9,"3,7-4,2",9.5,"9,1-9,8",86.6,"86,1-87,1",50642
Jenis Kelamin,,,,,,,,
Laki-laki,6.4,"6,2-6,6",16.5,"16,2-16,8",77.1,"76,8-77,5",156673
Perempuan,5.0,"4,8-5,2",15.1,"14,8-15,4",79.9,"79,6-80,3",149608
Pendidikan,,,,,,,,
Tidak/belum pernah sekolah,10.5,"9,3-11,7",19.5,"18,3-20,8",70.0,"68,3-71,6",7237
Tidak tamat SD/MI,8.8,"8,0-9,6",18.4,"17,4-19,5",72.8,"71,6-74,0",12575
Tamat SD/MI,7.3,"6,9-7,6",18.8,"18,3-19,4",73.9,"73,3-74,5",61200
Tamat SLTP/MTS,6.0,"5,7-6,3",17.1,"16,6-17,6",76.9,"76,3-77,5",63346
Tamat SLTA/MA,4.8,"4,6-5,0",14.3,"14,0-14,7",80.9,"80,5-81,2",123968
Tamat D1/D2/D3/PT,3.9,"3,6-4,2",12.0,"11,5-12,5",84.1,"83,6-84,7",37954
Pekerjaan,,,,,,,,
Tidak bekerja,8.1,"6,9-9,5",17.0,"15,7-18,5",74.9,"73,1-76,6",8227
Sekolah,6.7,"4,1-10,6",17.3,"13,3-22,2",76.0,"70,0-81,2",730
PNS/TNI/Polri/BUMN/BUMD,4.2,"3,7-4,7",11.0,"10,3-11,7",84.9,"84,0-85,7",14006
Pegawai Swasta,3.9,"3,7-4,2",12.8,"12,4-13,2",83.3,"82,8-83,8",67300
Wiraswasta,5.0,"4,8-5,3",14.6,"14,2-15,0",80.4,"79,9-80,8",89576
Petani/buruh tani,8.0,"7,7-8,3",18.7,"18,3-19,2",73.3,"72,7-73,8",63723
Nelayan,8.0,"7,2-8,9",20.4,"19,1-21,9",71.6,"70,0-73,1",6594
Buruh/sopir/pembantu ruta,6.3,"5,9-6,7",19.1,"18,3-19,8",74.7,"73,9-75,5",44616
Lainnya,5.5,"4,9-6,1",16.2,"15,2-17,3",78.3,"77,2-79,5",11510
Tempat Tinggal,,,,,,,,
Perkotaan,5.0,"4,8-5,2",14.7,"14,4-15,0",80.3,"79,9-80,7",178047
Pedesaan,6.7,"6,5-6,9",17.3,"17,0-17,6",76.0,"75,6-76,3",128234
